Year,Gruppe,Value
2008,,107326 
2009,,110373 
2010,,107176 
2011,,103714 
2012,,100051 
2013,,101751 
2014,,100957 
2015,,97850 
2016,,94977 
2017,,92434 
2018,,85053 
2008,Langzeitarbeitslose,40102
2009,Langzeitarbeitslose,35611
2010,Langzeitarbeitslose,34636
2011,Langzeitarbeitslose,33364
2012,Langzeitarbeitslose,33637
2013,Langzeitarbeitslose,34993
2014,Langzeitarbeitslose,37216
2015,Langzeitarbeitslose,36341
2016,Langzeitarbeitslose,34935
2017,Langzeitarbeitslose,32326
2018,Langzeitarbeitslose,29345
2008,Arbeitslose ohne Berufsausbildung,
2009,Arbeitslose ohne Berufsausbildung,46380 
2010,Arbeitslose ohne Berufsausbildung,45881 
2011,Arbeitslose ohne Berufsausbildung,46037
2012,Arbeitslose ohne Berufsausbildung,45093 
2013,Arbeitslose ohne Berufsausbildung,46381 
2014,Arbeitslose ohne Berufsausbildung,46987 
2015,Arbeitslose ohne Berufsausbildung,46826 
2016,Arbeitslose ohne Berufsausbildung,45630 
2017,Arbeitslose ohne Berufsausbildung,43049 
2018,Arbeitslose ohne Berufsausbildung,44245
