Year,SGB-II-Leistungsberechtigte,Value
2006,SGB-II-Leistungsberechtigte,11.11833476
2007,SGB-II-Leistungsberechtigte,10.74263341
2008,SGB-II-Leistungsberechtigte,10.19434117
2009,SGB-II-Leistungsberechtigte,10.10783013
2010,SGB-II-Leistungsberechtigte,9.544384655
2011,SGB-II-Leistungsberechtigte,9.566372728
2012,SGB-II-Leistungsberechtigte,9.534549959
2013,SGB-II-Leistungsberechtigte,9.664412819
2014,SGB-II-Leistungsberechtigte,9.709669527
2015,SGB-II-Leistungsberechtigte,9.675238784
2016,SGB-II-Leistungsberechtigte,9.902504229
2017,SGB-II-Leistungsberechtigte,10.04098602
2018,SGB-II-Leistungsberechtigte,9.473259342
2019,SGB-II-Leistungsberechtigte,8.916495007
2020,SGB-II-Leistungsberechtigte,8.834091851
2021,SGB-II-Leistungsberechtigte,8.12906238
2022,SGB-II-Leistungsberechtigte,8.461228877
2023,SGB-II-Leistungsberechtigte,8.586302766
