Year,Leistungsbeziehende,Value
2010,SGB II - U 15 Leistungsbeziehende,12.37450066
2011,SGB II - U 15 Leistungsbeziehende,13.04094722
2012,SGB II - U 15 Leistungsbeziehende,13.41347984
2013,SGB II - U 15 Leistungsbeziehende,13.98452166
2014,SGB II - U 15 Leistungsbeziehende,14.52684088
2015,SGB II - U 15 Leistungsbeziehende,14.77111618
2016,SGB II - U 15 Leistungsbeziehende,15.39124761
2017,SGB II - U 15 Leistungsbeziehende,15.99585187
2018,SGB II - U 15 Leistungsbeziehende,15.25779974
2019,SGB II - U 15 Leistungsbeziehende,14.53751076
2020,SGB II - U 15 Leistungsbeziehende,13.84258785
2021,SGB II - U 15 Leistungsbeziehende,12.47750465
2022,SGB II - U 15 Leistungsbeziehende,13.23160763
2023,SGB II - U 15 Leistungsbeziehende,13.06484564
