Year,Erwerbstätigenquote,Value
2011,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),66.9
2012,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),69.6
2013,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),67.8
2014,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),67
2015,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),68.7
2016,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),65.3
2017,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),64
2011,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),72.9
2012,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),77.5
2013,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),77
2014,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),73.7
2015,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),76.9
2016,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),72.3
2017,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),68.2
2011,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),61.3
2012,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),62.3
2013,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),59.6
2014,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),60.8
2015,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),60.8
2016,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),58.1
2017,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),59.4
2011,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre insgesamt),76.3
2012,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre insgesamt),77.5
2013,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre insgesamt),77.2
2014,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre insgesamt),77.9
2015,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre insgesamt),78.6
2016,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre insgesamt),78.3
2017,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre insgesamt),79.3
2011,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre m),81.1
2012,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre m),82.1
2013,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre m),82.4
2014,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre m),82.4
2015,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre m),83.1
2016,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre m),82.1
2017,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre m),82.6
2011,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre w),71.5
2012,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre w),72.8
2013,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre w),72
2014,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre w),73.4
2015,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre w),74.2
2016,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre w),74.5
2017,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre w),76
