Year,Nachhaltigkeitsstandard,Value
1998,DNK,NaN
1999,DNK,NaN
2000,DNK,NaN
2001,DNK,NaN
2002,DNK,NaN
2003,DNK,NaN
2004,DNK,NaN
2005,DNK,NaN
2006,DNK,NaN
2007,DNK,NaN
2008,DNK,NaN
2009,DNK,NaN
2010,DNK,NaN
2011,DNK,NaN
2012,DNK,NaN
2013,DNK,3
2014,DNK,5
2015,DNK,6
2016,DNK,7
2017,DNK,10
2018,DNK,11
2019,DNK,22
2020,DNK,24
2021,DNK,27
2022,DNK,31
2023,DNK,33
2024,DNK,37
2025,DNK,41
1998,EMAS,54
1999,EMAS,62
2000,EMAS,89
2001,EMAS,96
2002,EMAS,91
2003,EMAS,68
2004,EMAS,73
2005,EMAS,72
2006,EMAS,72
2007,EMAS,66
2008,EMAS,59
2009,EMAS,50
2010,EMAS,36
2011,EMAS,34
2012,EMAS,26
2013,EMAS,26
2014,EMAS,22
2015,EMAS,17
2016,EMAS,18
2017,EMAS,18
2018,EMAS,17
2019,EMAS,16
2020,EMAS,17
2021,EMAS,19
2022,EMAS,19
2023,EMAS,22
2024,EMAS,24
2025,EMAS,24
1998,GRI,0
1999,GRI,0
2000,GRI,0
2001,GRI,0
2002,GRI,0
2003,GRI,0
2004,GRI,0
2005,GRI,0
2006,GRI,1
2007,GRI,1
2008,GRI,1
2009,GRI,1
2010,GRI,1
2011,GRI,1
2012,GRI,1
2013,GRI,2
2014,GRI,2
2015,GRI,3
2016,GRI,4
2017,GRI,4
2018,GRI,4
2019,GRI,4
2020,GRI,4
2021,GRI,4
2022,GRI,4
2023,GRI,4
2024,GRI,4
2025,GRI,4
