Year,Gebiet,Value
2005,Schleswig-Holstein,3.12
2006,Schleswig-Holstein,3.21
2007,Schleswig-Holstein,3.47
2008,Schleswig-Holstein,3.44
2009,Schleswig-Holstein,3.59
2010,Schleswig-Holstein,3.56
2011,Schleswig-Holstein,3.51
2012,Schleswig-Holstein,3.55
2013,Schleswig-Holstein,3.74
2014,Schleswig-Holstein,3.73
2015,Schleswig-Holstein,4.1
2016,Schleswig-Holstein,5.01
2017,Schleswig-Holstein,5.65
2018,Schleswig-Holstein,6.21
2019,Schleswig-Holstein,6.55
2020,Schleswig-Holstein,7
2021,Schleswig-Holstein,7.52
2022,Schleswig-Holstein,7.9
2023,Schleswig-Holstein,7.98
2024,Schleswig-Holstein,8.22
2005,Deutschland,4.7
2006,Deutschland,4.9
2007,Deutschland,5.1
2008,Deutschland,5.4
2009,Deutschland,5.6
2010,Deutschland,5.6
2011,Deutschland,5.6
2012,Deutschland,5.8
2013,Deutschland,6
2014,Deutschland,6.2
2015,Deutschland,6.3
2016,Deutschland,6.8
2017,Deutschland,6.8
2018,Deutschland,7.3
2019,Deutschland,7.8
2020,Deutschland,9.6
2021,Deutschland,9.7
2022,Deutschland,9.8
2023,Deutschland,11.2
2024,Deutschland,11.2
