Year,Sektor,Value
1990,Energiewirtschaft,6705.7
1995,Energiewirtschaft,6069.4
2000,Energiewirtschaft,6000.6
2003,Energiewirtschaft,7311.9
2004,Energiewirtschaft,6587.8
2005,Energiewirtschaft,6509.9
2006,Energiewirtschaft,6574.0
2007,Energiewirtschaft,5904.3
2008,Energiewirtschaft,6370.9
2009,Energiewirtschaft,6294.5
2010,Energiewirtschaft,6864.0
2011,Energiewirtschaft,5629.5
2012,Energiewirtschaft,6316.8
2013,Energiewirtschaft,5964.6
2014,Energiewirtschaft,5823.3
2015,Energiewirtschaft,5588.0
2016,Energiewirtschaft,5287.2
2017,Energiewirtschaft,5022.2
2018,Energiewirtschaft,5165.1
2019,Energiewirtschaft,4403.7
2020,Energiewirtschaft,4074.2
2021,Energiewirtschaft,4189.3
2022,Energiewirtschaft,4257.2
2023,Energiewirtschaft,3985.8
2023,Energiewirtschaft,4014.0
1990,Industrie,6459.9
1995,Industrie,6440.0
2000,Industrie,6077.1
2003,Industrie,4794.2
2004,Industrie,4631.9
2005,Industrie,4973.5
2006,Industrie,5014.0
2007,Industrie,4918.6
2008,Industrie,5291.4
2009,Industrie,4833.3
2010,Industrie,4571.2
2011,Industrie,4783.7
2012,Industrie,4811.9
2013,Industrie,4742.4
2014,Industrie,4231.1
2015,Industrie,3932.3
2016,Industrie,4077.8
2017,Industrie,4209.7
2018,Industrie,4094.7
2019,Industrie,4126.0
2020,Industrie,4047.8
2021,Industrie,3891.5
2022,Industrie,3681.5
2023,Industrie,3743.6
2023,Industrie,3630.6
1990,Gebäude insgesamt,7079.9
1995,Gebäude insgesamt,7001.3
2000,Gebäude insgesamt,5969.3
2003,Gebäude insgesamt,6348.0
2004,Gebäude insgesamt,6027.8
2005,Gebäude insgesamt,5329.5
2006,Gebäude insgesamt,5472.9
2007,Gebäude insgesamt,4082.0
2008,Gebäude insgesamt,4966.1
2009,Gebäude insgesamt,4689.5
2010,Gebäude insgesamt,5053.6
2011,Gebäude insgesamt,4515.4
2012,Gebäude insgesamt,5249.9
2013,Gebäude insgesamt,5697.2
2014,Gebäude insgesamt,5062.1
2015,Gebäude insgesamt,5173.8
2016,Gebäude insgesamt,5222.3
2017,Gebäude insgesamt,5403.9
2018,Gebäude insgesamt,5194.4
2019,Gebäude insgesamt,4572.5
2020,Gebäude insgesamt,5070.3
2021,Gebäude insgesamt,5175.7
2022,Gebäude insgesamt,4827.0
2023,Gebäude insgesamt,4209.1
2024,Gebäude insgesamt,3957.5
1990,Verkehr,6174.1
1995,Verkehr,6322.8
2000,Verkehr,6363.8
2003,Verkehr,5844.7
2004,Verkehr,5775.2
2005,Verkehr,5462.6
2006,Verkehr,5290.2
2007,Verkehr,5144.4
2008,Verkehr,5122.7
2009,Verkehr,5130.5
2010,Verkehr,5149.5
2011,Verkehr,5118.7
2012,Verkehr,5131.1
2013,Verkehr,5295.0
2014,Verkehr,5334.1
2015,Verkehr,5449.2
2016,Verkehr,5574.6
2017,Verkehr,5635.4
2018,Verkehr,5459.9
2019,Verkehr,5491.4
2020,Verkehr,4983.4
2021,Verkehr,5023.8
2022,Verkehr,5050.7
2023,Verkehr,4886.1
2024,Verkehr,4945.1
1990,Abfallwirtschaft,1228.0
1995,Abfallwirtschaft,1163.6
2000,Abfallwirtschaft,843.6
2003,Abfallwirtschaft,731.7
2004,Abfallwirtschaft,669.1
2005,Abfallwirtschaft,653.4
2006,Abfallwirtschaft,601.5
2007,Abfallwirtschaft,569.3
2008,Abfallwirtschaft,520.3
2009,Abfallwirtschaft,485.7
2010,Abfallwirtschaft,453.0
2011,Abfallwirtschaft,434.2
2012,Abfallwirtschaft,409.3
2013,Abfallwirtschaft,385.5
2014,Abfallwirtschaft,367.6
2015,Abfallwirtschaft,345.2
2016,Abfallwirtschaft,332.8
2017,Abfallwirtschaft,320.8
2018,Abfallwirtschaft,289.2
2019,Abfallwirtschaft,235.1
2020,Abfallwirtschaft,193.5
2021,Abfallwirtschaft,196.4
2022,Abfallwirtschaft,193.1
2023,Abfallwirtschaft,192.8
2024,Abfallwirtschaft,192.5
1990,Landwirtschaft,6403.2
1995,Landwirtschaft,5934.4
2000,Landwirtschaft,5746.4
2003,Landwirtschaft,5632.9
2004,Landwirtschaft,5496.2
2005,Landwirtschaft,5409.8
2006,Landwirtschaft,5391.1
2007,Landwirtschaft,5384.1
2008,Landwirtschaft,5396.6
2009,Landwirtschaft,5327.1
2010,Landwirtschaft,5348.7
2011,Landwirtschaft,5425.6
2012,Landwirtschaft,5447.1
2013,Landwirtschaft,5492.4
2014,Landwirtschaft,5604.3
2015,Landwirtschaft,5575.0
2016,Landwirtschaft,5558.3
2017,Landwirtschaft,5448.9
2018,Landwirtschaft,5111.5
2019,Landwirtschaft,5270.4
2020,Landwirtschaft,5143.2
2021,Landwirtschaft,4981.3
2022,Landwirtschaft,4947.3
2023,Landwirtschaft,4796.0
2024,Landwirtschaft,4552.6
