Year,Anzahl,Value
2005,Anzahl Klimaschutzkonzepte,0
2006,Anzahl Klimaschutzkonzepte,0
2007,Anzahl Klimaschutzkonzepte,0
2008,Anzahl Klimaschutzkonzepte,2
2009,Anzahl Klimaschutzkonzepte,5
2010,Anzahl Klimaschutzkonzepte,7
2011,Anzahl Klimaschutzkonzepte,10
2012,Anzahl Klimaschutzkonzepte,17
2013,Anzahl Klimaschutzkonzepte,25
2014,Anzahl Klimaschutzkonzepte,31
2015,Anzahl Klimaschutzkonzepte,34
2016,Anzahl Klimaschutzkonzepte,34
2017,Anzahl Klimaschutzkonzepte,34
2018,Anzahl Klimaschutzkonzepte,36
2019,Anzahl Klimaschutzkonzepte,38
2020,Anzahl Klimaschutzkonzepte,44
2021,Anzahl Klimaschutzkonzepte,49
2022,Anzahl Klimaschutzkonzepte,61
2023,Anzahl Klimaschutzkonzepte,66
2024,Anzahl Klimaschutzkonzepte,72
2030,Anzahl Klimaschutzkonzepte,50
