Year,Series,Qualität,Value
2009,Nordsee,sehr gut,0
2015,Nordsee,sehr gut,0
2021,Nordsee,sehr gut,0
2009,Nordsee,gut,0
2015,Nordsee,gut,0
2021,Nordsee,gut,0
2009,Nordsee,mäßig,6
2015,Nordsee,mäßig,9
2021,Nordsee,mäßig,9
2009,Nordsee,unbefriedigend,7
2015,Nordsee,unbefriedigend,2
2021,Nordsee,unbefriedigend,2
2009,Nordsee,schlecht,0
2015,Nordsee,schlecht,2
2021,Nordsee,schlecht,2
2009,Nordsee,nicht bestimmt/nicht bewertbar,0
2015,Nordsee,nicht bestimmt/nicht bewertbar,0
2021,Nordsee,nicht bestimmt/nicht bewertbar,0
2009,Ostsee,sehr gut,0
2015,Ostsee,sehr gut,0
2021,Ostsee,sehr gut,0
2009,Ostsee,gut,1
2015,Ostsee,gut,0
2021,Ostsee,gut,0
2009,Ostsee,mäßig,13
2015,Ostsee,mäßig,14
2021,Ostsee,mäßig,12
2009,Ostsee,unbefriedigend,9
2015,Ostsee,unbefriedigend,4
2021,Ostsee,unbefriedigend,7
2009,Ostsee,schlecht,4
2015,Ostsee,schlecht,9
2021,Ostsee,schlecht,8
2009,Ostsee,nicht bestimmt/nicht bewertbar,0
2015,Ostsee,nicht bestimmt/nicht bewertbar,0
2021,Ostsee,nicht bestimmt/nicht bewertbar,0
