Year,Raum,Value
2005,Schleswig-Holstein,0.61
2006,Schleswig-Holstein,0.69
2007,Schleswig-Holstein,0.67
2008,Schleswig-Holstein,0.46
2009,Schleswig-Holstein,0.47
2010,Schleswig-Holstein,NaN
2011,Schleswig-Holstein,NaN
2012,Schleswig-Holstein,NaN
2013,Schleswig-Holstein,0.77
2014,Schleswig-Holstein,0.6
2015,Schleswig-Holstein,0.8
2016,Schleswig-Holstein,0.7
2005,Deutschland,0.82
2006,Deutschland,0.82
2007,Deutschland,0.85
2008,Deutschland,0.76
2009,Deutschland,0.76
2010,Deutschland,0.88
2011,Deutschland,0.75
2012,Deutschland,0.72
2013,Deutschland,0.81
2014,Deutschland,0.69
2015,Deutschland,0.65
2016,Deutschland,0.7
