Year,Lebensraum,Value
2004,Agrarlandschaft,100
2005,Agrarlandschaft,83.2
2006,Agrarlandschaft,78.2
2007,Agrarlandschaft,79.9
2008,Agrarlandschaft,82.7
2009,Agrarlandschaft,81.9
2010,Agrarlandschaft,77.8
2011,Agrarlandschaft,83.3
2012,Agrarlandschaft,85
2013,Agrarlandschaft,81.8
2014,Agrarlandschaft,64.4
2015,Agrarlandschaft,80.5
2016,Agrarlandschaft,79.5
2017,Agrarlandschaft,60
2018,Agrarlandschaft,67.6
2019,Agrarlandschaft,61.9
2020,Agrarlandschaft,70.6
2021,Agrarlandschaft,63.8
2022,Agrarlandschaft,75.4
2023,Agrarlandschaft,62.4
2004,Wald,100
2005,Wald,72.9
2006,Wald,89.9
2007,Wald,93
2008,Wald,102.7
2009,Wald,77.5
2010,Wald,108.9
2011,Wald,86.2
2012,Wald,116
2013,Wald,116.8
2014,Wald,124.3
2015,Wald,128
2016,Wald,132.3
2017,Wald,143
2018,Wald,137.4
2019,Wald,137.4
2020,Wald,131.8
2021,Wald,113.7
2022,Wald,97.5
2023,Wald,108.6
2004,Siedlung,100
2005,Siedlung,115.4
2006,Siedlung,117.8
2007,Siedlung,131.1
2008,Siedlung,102.2
2009,Siedlung,113.9
2010,Siedlung,113.2
2011,Siedlung,130.7
2012,Siedlung,114
2013,Siedlung,115.3
2014,Siedlung,126.2
2015,Siedlung,110.4
2016,Siedlung,119.3
2017,Siedlung,117
2018,Siedlung,114.1
2019,Siedlung,127.3
2020,Siedlung,117.5
2021,Siedlung,105.9
2022,Siedlung,114.5
2023,Siedlung,112.8
2004,Gewässer,100
2005,Gewässer,78.9
2006,Gewässer,96
2007,Gewässer,111.9
2008,Gewässer,92.8
2009,Gewässer,95.3
2010,Gewässer,107.4
2011,Gewässer,107.3
2012,Gewässer,112
2013,Gewässer,99.7
2014,Gewässer,89.7
2015,Gewässer,95.6
2016,Gewässer,96.7
2017,Gewässer,111.8
2018,Gewässer,85.3
2019,Gewässer,76
2020,Gewässer,65.5
2021,Gewässer,72.6
2022,Gewässer,53.8
2023,Gewässer,85
2004,Gesamtindikator,100
2005,Gesamtindikator,85.3
2006,Gesamtindikator,86.8
2007,Gesamtindikator,92.2
2008,Gesamtindikator,88.5
2009,Gesamtindikator,87.3
2010,Gesamtindikator,89.5
2011,Gesamtindikator,92.9
2012,Gesamtindikator,95.6
2013,Gesamtindikator,91.8
2014,Gesamtindikator,81.4
2015,Gesamtindikator,90.8
2016,Gesamtindikator,91.9
2017,Gesamtindikator,82.8
2018,Gesamtindikator,82.5
2019,Gesamtindikator,79
2020,Gesamtindikator,81.1
2021,Gesamtindikator,74.9
2022,Gesamtindikator,78.7
2023,Gesamtindikator,76.3
