Year,Bereich,Value
2019,Servicekräfte in Finanzgerichtsbarkeit,1.21
2020,Servicekräfte in Finanzgerichtsbarkeit,1.04
2021,Servicekräfte in Finanzgerichtsbarkeit,1.11
2022,Servicekräfte in Finanzgerichtsbarkeit,1.41
2023,Servicekräfte in Finanzgerichtsbarkeit,1.36
2024,Servicekräfte in Finanzgerichtsbarkeit,1.37
2025,Servicekräfte in Finanzgerichtsbarkeit,1.20
2019,Rechtspfleger in Finanzgerichtsbarkeit,1.26
2020,Rechtspfleger in Finanzgerichtsbarkeit,1.16
2021,Rechtspfleger in Finanzgerichtsbarkeit,1.15
2022,Rechtspfleger in Finanzgerichtsbarkeit,1.19
2023,Rechtspfleger in Finanzgerichtsbarkeit,1.29
2024,Rechtspfleger in Finanzgerichtsbarkeit,1.32
2025,Rechtspfleger in Finanzgerichtsbarkeit,1.32
2019,Richter/innen in Finanzgerichtsbarkeit,0.95
2020,Richter/innen in Finanzgerichtsbarkeit,0.96
2021,Richter/innen in Finanzgerichtsbarkeit,0.97
2022,Richter/innen in Finanzgerichtsbarkeit,1.18
2023,Richter/innen in Finanzgerichtsbarkeit,1.26
2024,Richter/innen in Finanzgerichtsbarkeit,1.41
2025,Richter/innen in Finanzgerichtsbarkeit,1.08
2019,Serviceeinheiten in Arbeitsgerichtsbarkeit,1.03
2020,Serviceeinheiten in Arbeitsgerichtsbarkeit,1.13
2021,Serviceeinheiten in Arbeitsgerichtsbarkeit,1.26
2022,Serviceeinheiten in Arbeitsgerichtsbarkeit,1.2
2023,Serviceeinheiten in Arbeitsgerichtsbarkeit,1.09
2024,Serviceeinheiten in Arbeitsgerichtsbarkeit,0.98
2025,Serviceeinheiten in Arbeitsgerichtsbarkeit,0.94
2019,Rechtspfleger in Arbeitsgerichtsbarkeit,1.12
2020,Rechtspfleger in Arbeitsgerichtsbarkeit,1.13
2021,Rechtspfleger in Arbeitsgerichtsbarkeit,1.26
2022,Rechtspfleger in Arbeitsgerichtsbarkeit,1.18
2023,Rechtspfleger in Arbeitsgerichtsbarkeit,1.05
2024,Rechtspfleger in Arbeitsgerichtsbarkeit,1.03
2025,Rechtspfleger in Arbeitsgerichtsbarkeit,0.99
2019,Richterinnen in Arbeitsgerichtsbarkeit,1.04
2020,Richterinnen in Arbeitsgerichtsbarkeit,1.07
2021,Richterinnen in Arbeitsgerichtsbarkeit,1.25
2022,Richterinnen in Arbeitsgerichtsbarkeit,1.22
2023,Richterinnen in Arbeitsgerichtsbarkeit,1.09
2024,Richterinnen in Arbeitsgerichtsbarkeit,1.06
2025,Richterinnen in Arbeitsgerichtsbarkeit,1.04
2019,Serviceeinheiten in Verwaltungsgerichtsbarkeit,1.14
2020,Serviceeinheiten in Verwaltungsgerichtsbarkeit,1.28
2021,Serviceeinheiten in Verwaltungsgerichtsbarkeit,1.36
2022,Serviceeinheiten in Verwaltungsgerichtsbarkeit,1.4
2023,Serviceeinheiten in Verwaltungsgerichtsbarkeit,1.13
2024,Serviceeinheiten in Verwaltungsgerichtsbarkeit,0.98
2025,Serviceeinheiten in Verwaltungsgerichtsbarkeit,0.82
2019,Rechtspfleger in Verwaltungsgerichtsbarkeit,0.75
2020,Rechtspfleger in Verwaltungsgerichtsbarkeit,0.87
2021,Rechtspfleger in Verwaltungsgerichtsbarkeit,0.92
2022,Rechtspfleger in Verwaltungsgerichtsbarkeit,0.81
2023,Rechtspfleger in Verwaltungsgerichtsbarkeit,0.9
2024,Rechtspfleger in Verwaltungsgerichtsbarkeit,0.91
2025,Rechtspfleger in Verwaltungsgerichtsbarkeit,0.86
2019,Richterinnen in Verwaltungsgerichtsbarkeit,0.99
2020,Richterinnen in Verwaltungsgerichtsbarkeit,1.03
2021,Richterinnen in Verwaltungsgerichtsbarkeit,0.97
2022,Richterinnen in Verwaltungsgerichtsbarkeit,1.09
2023,Richterinnen in Verwaltungsgerichtsbarkeit,1.08
2024,Richterinnen in Verwaltungsgerichtsbarkeit,0.93
2025,Richterinnen in Verwaltungsgerichtsbarkeit,0.82
2019,Serviceeinheiten in Sozialgerichtsbarkeit,1.08
2020,Serviceeinheiten in Sozialgerichtsbarkeit,1.16
2021,Serviceeinheiten in Sozialgerichtsbarkeit,1.19
2022,Serviceeinheiten in Sozialgerichtsbarkeit,1.41
2023,Serviceeinheiten in Sozialgerichtsbarkeit,1.45
2024,Serviceeinheiten in Sozialgerichtsbarkeit,1.36
2025,Serviceeinheiten in Sozialgerichtsbarkeit,1.22
2019,Rechtspfleger in Sozialgerichtsbarkeit,0.8
2020,Rechtspfleger in Sozialgerichtsbarkeit,0.84
2021,Rechtspfleger in Sozialgerichtsbarkeit,1.02
2022,Rechtspfleger in Sozialgerichtsbarkeit,1.04
2023,Rechtspfleger in Sozialgerichtsbarkeit,1.03
2024,Rechtspfleger in Sozialgerichtsbarkeit,1.18
2025,Rechtspfleger in Sozialgerichtsbarkeit,1.07
2019,Richterinnen in Sozialgerichtsbarkeit,0.96
2020,Richterinnen in Sozialgerichtsbarkeit,1
2021,Richterinnen in Sozialgerichtsbarkeit,1.03
2022,Richterinnen in Sozialgerichtsbarkeit,1.29
2023,Richterinnen in Sozialgerichtsbarkeit,1.26
2024,Richterinnen in Sozialgerichtsbarkeit,1.21
2025,Richterinnen in Sozialgerichtsbarkeit,1.12
2019,Amtsanwälte in Staatsanwaltschaft,0.82
2020,Amtsanwälte in Staatsanwaltschaft,0.87
2021,Amtsanwälte in Staatsanwaltschaft,0.88
2022,Amtsanwälte in Staatsanwaltschaft,0.81
2023,Amtsanwälte in Staatsanwaltschaft,0.78
2024,Amtsanwälte in Staatsanwaltschaft,0.79
2025,Amtsanwälte in Staatsanwaltschaft,0.80
2019,Staatsanwälte in Staatsanwaltschaft,0.81
2020,Staatsanwälte in Staatsanwaltschaft,0.8
2021,Staatsanwälte in Staatsanwaltschaft,0.82
2022,Staatsanwälte in Staatsanwaltschaft,0.78
2023,Staatsanwälte in Staatsanwaltschaft,0.75
2024,Staatsanwälte in Staatsanwaltschaft,0.82
2025,Staatsanwälte in Staatsanwaltschaft,0.85
2019,Rechtspfleger in Staatsanwaltschaften,0.93
2020,Rechtspfleger in Staatsanwaltschaften,0.95
2021,Rechtspfleger in Staatsanwaltschaften,0.95
2022,Rechtspfleger in Staatsanwaltschaften,0.98
2023,Rechtspfleger in Staatsanwaltschaften,0.92
2024,Rechtspfleger in Staatsanwaltschaften,0.99
2025,Rechtspfleger in Staatsanwaltschaften,1.01
2019,Serviceeinheiten in Ordentliche Gerichtsbarkeit,0.87
2020,Serviceeinheiten in Ordentliche Gerichtsbarkeit,0.9
2021,Serviceeinheiten in Ordentliche Gerichtsbarkeit,0.91
2022,Serviceeinheiten in Ordentliche Gerichtsbarkeit,0.96
2023,Serviceeinheiten in Ordentliche Gerichtsbarkeit,0.93
2024,Serviceeinheiten in Ordentliche Gerichtsbarkeit,0.92
2025,Serviceeinheiten in Ordentliche Gerichtsbarkeit,0.92
2019,Rechtspfleger/Rechtspflegerinnen in Ordentliche Gerichtsbarkeit,0.9
2020,Rechtspfleger/Rechtspflegerinnen in Ordentliche Gerichtsbarkeit,0.91
2021,Rechtspfleger/Rechtspflegerinnen in Ordentliche Gerichtsbarkeit,0.91
2022,Rechtspfleger/Rechtspflegerinnen in Ordentliche Gerichtsbarkeit,0.94
2023,Rechtspfleger/Rechtspflegerinnen in Ordentliche Gerichtsbarkeit,0.9
2024,Rechtspfleger/Rechtspflegerinnen in Ordentliche Gerichtsbarkeit,0.87
2025,Rechtspfleger/Rechtspflegerinnen in Ordentliche Gerichtsbarkeit,0.86
2019,Richter/Richterinnen in Ordentliche Gerichtsbarkeit,0.89
2020,Richter/Richterinnen in Ordentliche Gerichtsbarkeit,0.96
2021,Richter/Richterinnen in Ordentliche Gerichtsbarkeit,1
2022,Richter/Richterinnen in Ordentliche Gerichtsbarkeit,1.02
2023,Richter/Richterinnen in Ordentliche Gerichtsbarkeit,1
2024,Richter/Richterinnen in Ordentliche Gerichtsbarkeit,1.02
2025,Richter/Richterinnen in Ordentliche Gerichtsbarkeit,1.02
2019,Richter-Geschäfte,91.02
2020,Richter-Geschäfte,97.38
2021,Richter-Geschäfte,100.68
2022,Richter-Geschäfte,106.33
2023,Richter-Geschäfte,103.65
2024,Richter-Geschäfte,103.62
2025,Richter-Geschäfte,100.98
2019,Staatsanwalts-Geschäfte,81.51
2020,Staatsanwalts-Geschäfte,80.91
2021,Staatsanwalts-Geschäfte,82.15
