Year,Fokusleistungen,Value
2025,Anlagengenehmigung und -zulassung,100
2026,Anlagengenehmigung und -zulassung,100
2025,Bauvorbescheid und Baugenehmigung,4.3
2026,Bauvorbescheid und Baugenehmigung,50.4
2025,Bürgergeld,0
2026,Bürgergeld,89
2025,Eheschließung,0
2026,Eheschließung,73.6
2025,Einbürgerung,6.67
2026,Einbürgerung,26.4
2025,Elterngeld,100
2026,Elterngeld,100
2025,Führerschein,0
2026,Führerschein,100
2025,Handwerksgründung /-register /-karte,100
2026,Handwerksgründung /-register /-karte,100
2025,Öffentliche Vergabe,100
2026,Öffentliche Vergabe,100
2025,Personalausweis,0
2026,Personalausweis,99.9
2025,Ummeldung,100
2026,Ummeldung,100
2025,Unterhaltsvorschuss,73
2026,Unterhaltsvorschuss,85.2
2025,Unternehmensanmeldung und -genehmigung,100
2026,Unternehmensanmeldung und -genehmigung,100
2025,Wohngeld,55.3
2026,Wohngeld,73.4
