Year,Aufkommen,Value
2005,Öffentliche Entwicklungshilfe,15943000
2006,Öffentliche Entwicklungshilfe,15196000
2007,Öffentliche Entwicklungshilfe,15631000
2008,Öffentliche Entwicklungshilfe,15037000
2009,Öffentliche Entwicklungshilfe,15227000
2010,Öffentliche Entwicklungshilfe,16139000
2011,Öffentliche Entwicklungshilfe,16198000
2012,Öffentliche Entwicklungshilfe,16482000
2013,Öffentliche Entwicklungshilfe,16214000
2014,Öffentliche Entwicklungshilfe,16001000
2015,Öffentliche Entwicklungshilfe,17804000
2016,Öffentliche Entwicklungshilfe,18089000
2017,Öffentliche Entwicklungshilfe,21145000
2018,Öffentliche Entwicklungshilfe,21199000
2019,Öffentliche Entwicklungshilfe,24592000
2020,Öffentliche Entwicklungshilfe,34340000
2021,Öffentliche Entwicklungshilfe,31385000
2022,Öffentliche Entwicklungshilfe,35088000
