year,Raum,Value
2000,3-Jahreswert Schleswig-Holstein,2.351333333
2001,3-Jahreswert Schleswig-Holstein,2.452
2002,3-Jahreswert Schleswig-Holstein,2.795
2003,3-Jahreswert Schleswig-Holstein,2.978666667
2004,3-Jahreswert Schleswig-Holstein,2.784333333
2005,3-Jahreswert Schleswig-Holstein,2.632666667
2006,3-Jahreswert Schleswig-Holstein,2.227333333
2007,3-Jahreswert Schleswig-Holstein,2.385
2008,3-Jahreswert Schleswig-Holstein,2.250666667
2009,3-Jahreswert Schleswig-Holstein,2.300666667
2010,3-Jahreswert Schleswig-Holstein,2.258666667
2011,3-Jahreswert Schleswig-Holstein,2.24
2012,3-Jahreswert Schleswig-Holstein,2.404333333
2013,3-Jahreswert Schleswig-Holstein,2.132
2014,3-Jahreswert Schleswig-Holstein,2.279
2015,3-Jahreswert Schleswig-Holstein,2.101
2016,3-Jahreswert Schleswig-Holstein,2.135
2017,3-Jahreswert Schleswig-Holstein,1.994333333
2018,3-Jahreswert Schleswig-Holstein,2.337333333
2019,3-Jahreswert Schleswig-Holstein,2.386666667
2020,3-Jahreswert Schleswig-Holstein,2.405333333
2021,3-Jahreswert Schleswig-Holstein,2.192333333
2022,3-Jahreswert Schleswig-Holstein,1.978333333
2023,3-Jahreswert Schleswig-Holstein,1.867333333
2000,3-Jahreswert Deutschland,2.799
2001,3-Jahreswert Deutschland,2.760333333
2002,3-Jahreswert Deutschland,2.722
2003,3-Jahreswert Deutschland,2.729
2004,3-Jahreswert Deutschland,2.726666667
2005,3-Jahreswert Deutschland,2.652333333
2006,3-Jahreswert Deutschland,2.597333333
2007,3-Jahreswert Deutschland,2.590333333
2008,3-Jahreswert Deutschland,2.533
2009,3-Jahreswert Deutschland,2.447
2010,3-Jahreswert Deutschland,2.318
2011,3-Jahreswert Deutschland,2.339666667
2012,3-Jahreswert Deutschland,2.295333333
2013,3-Jahreswert Deutschland,2.284333333
2014,3-Jahreswert Deutschland,2.227333333
2015,3-Jahreswert Deutschland,2.264666667
2016,3-Jahreswert Deutschland,2.326
2017,3-Jahreswert Deutschland,2.337
2018,3-Jahreswert Deutschland,2.325333333
2019,3-Jahreswert Deutschland,2.284666667
2020,3-Jahreswert Deutschland,2.258666667
2021,3-Jahreswert Deutschland,2.229
2022,3-Jahreswert Deutschland,2.217666667
2023,3-Jahreswert Deutschland,2.257
