Year,Gebiet/Geschlecht,Value
1998,Schleswig-Holstein (m),389.4
1999,Schleswig-Holstein (m),385.6
2000,Schleswig-Holstein (m),380.5
2001,Schleswig-Holstein (m),364.2
2002,Schleswig-Holstein (m),355.9
2003,Schleswig-Holstein (m),348.3
2004,Schleswig-Holstein (m),343.6
2005,Schleswig-Holstein (m),330.3
2006,Schleswig-Holstein (m),319.4
2007,Schleswig-Holstein (m),312.3
2008,Schleswig-Holstein (m),309.2
2009,Schleswig-Holstein (m),311.3
2010,Schleswig-Holstein (m),305.3
2011,Schleswig-Holstein (m),301
2012,Schleswig-Holstein (m),287.4
2013,Schleswig-Holstein (m),302.3
2014,Schleswig-Holstein (m),281.7
2015,Schleswig-Holstein (m),298.4
2016,Schleswig-Holstein (m),292.3
2017,Schleswig-Holstein (m),281.1
2018,Schleswig-Holstein (m),293.1
2019,Schleswig-Holstein (m),286.8
2020,Schleswig-Holstein (m),279
2021,Schleswig-Holstein (m),278.2
2022,Schleswig-Holstein (m),293.3
2023,Schleswig-Holstein (m),273.9
1998,Deutschland (m),404.3
1999,Deutschland (m),391.7
2000,Deutschland (m),381.8
2001,Deutschland (m),366.5
2002,Deutschland (m),360
2003,Deutschland (m),355.5
2004,Deutschland (m),337.3
2005,Deutschland (m),329.4
2006,Deutschland (m),318.4
2007,Deutschland (m),312.9
2008,Deutschland (m),307.8
2009,Deutschland (m),304.8
2010,Deutschland (m),300.6
2011,Deutschland (m),298.7
2012,Deutschland (m),292.3
2013,Deutschland (m),291.9
2014,Deutschland (m),281.2
2015,Deutschland (m),288.1
2016,Deutschland (m),283.8
2017,Deutschland (m),276
2018,Deutschland (m),279.3
2019,Deutschland (m),271
2020,Deutschland (m),276.3
2021,Deutschland (m),289.9
2022,Deutschland (m),283.7
2023,Deutschland (m),272.7
1998,Schleswig-Holstein (w),197.1
1999,Schleswig-Holstein (w),196.9
2000,Schleswig-Holstein (w),195.2
2001,Schleswig-Holstein (w),190.1
2002,Schleswig-Holstein (w),180.4
2003,Schleswig-Holstein (w),184.3
2004,Schleswig-Holstein (w),182.9
2005,Schleswig-Holstein (w),173.9
2006,Schleswig-Holstein (w),168.6
2007,Schleswig-Holstein (w),163.2
2008,Schleswig-Holstein (w),170.3
2009,Schleswig-Holstein (w),170
2010,Schleswig-Holstein (w),170.7
2011,Schleswig-Holstein (w),168.8
2012,Schleswig-Holstein (w),174
2013,Schleswig-Holstein (w),163.3
2014,Schleswig-Holstein (w),164.7
2015,Schleswig-Holstein (w),161.3
2016,Schleswig-Holstein (w),164.4
2017,Schleswig-Holstein (w),165.5
2018,Schleswig-Holstein (w),166.9
2019,Schleswig-Holstein (w),159.3
2020,Schleswig-Holstein (w),154.1
2021,Schleswig-Holstein (w),164.6
2022,Schleswig-Holstein (w),163.7
2023,Schleswig-Holstein (w),162.5
1998,Deutschland (w),193.3
1999,Deutschland (w),188.8
2000,Deutschland (w),184.3
2001,Deutschland (w),179
2002,Deutschland (w),177
2003,Deutschland (w),173.2
2004,Deutschland (w),166.4
2005,Deutschland (w),164.7
2006,Deutschland (w),159.2
2007,Deutschland (w),157.9
2008,Deutschland (w),158.8
2009,Deutschland (w),157.4
2010,Deutschland (w),155.4
2011,Deutschland (w),157.1
2012,Deutschland (w),152.9
2013,Deutschland (w),155.8
2014,Deutschland (w),149.1
2015,Deutschland (w),153
2016,Deutschland (w),151.6
2017,Deutschland (w),148.7
2018,Deutschland (w),151.1
2019,Deutschland (w),145.9
2020,Deutschland (w),145.4
2021,Deutschland (w),151.8
2022,Deutschland (w),152.7
2023,Deutschland (w),147.5
