Year,Jahresmittelwert PM10,Value
2005,maximaler Jahresmittelwert,29
2006,maximaler Jahresmittelwert,30
2007,maximaler Jahresmittelwert,24
2008,maximaler Jahresmittelwert,27
2009,maximaler Jahresmittelwert,25
2010,maximaler Jahresmittelwert,26
2011,maximaler Jahresmittelwert,26
2012,maximaler Jahresmittelwert,21
2013,maximaler Jahresmittelwert,22
2014,maximaler Jahresmittelwert,25
2015,maximaler Jahresmittelwert,24
2016,maximaler Jahresmittelwert,23
2017,maximaler Jahresmittelwert,22
2018,maximaler Jahresmittelwert,22
2019,maximaler Jahresmittelwert,22
2020,maximaler Jahresmittelwert,18
2021,maximaler Jahresmittelwert,19
2022,maximaler Jahresmittelwert,19
2023,maximaler Jahresmittelwert,16
2024,maximaler Jahresmittelwert,16
2005,minimaler Jahresmittelwert,18
2006,minimaler Jahresmittelwert,19
2007,minimaler Jahresmittelwert,17
2008,minimaler Jahresmittelwert,16
2009,minimaler Jahresmittelwert,17
2010,minimaler Jahresmittelwert,20
2011,minimaler Jahresmittelwert,20
2012,minimaler Jahresmittelwert,17
2013,minimaler Jahresmittelwert,16
2014,minimaler Jahresmittelwert,19
2015,minimaler Jahresmittelwert,15
2016,minimaler Jahresmittelwert,14
2017,minimaler Jahresmittelwert,13
2018,minimaler Jahresmittelwert,15
2019,minimaler Jahresmittelwert,15
2020,minimaler Jahresmittelwert,13
2021,minimaler Jahresmittelwert,12
2022,minimaler Jahresmittelwert,13
2023,minimaler Jahresmittelwert,11
2024,minimaler Jahresmittelwert,11
2005,3 Jahres Mittelwert über alle Stationen,NaN
2006,3 Jahres Mittelwert über alle Stationen,NaN
2007,3 Jahres Mittelwert über alle Stationen,22
2008,3 Jahres Mittelwert über alle Stationen,22
2009,3 Jahres Mittelwert über alle Stationen,21
2010,3 Jahres Mittelwert über alle Stationen,22
2011,3 Jahres Mittelwert über alle Stationen,23
2012,3 Jahres Mittelwert über alle Stationen,22
2013,3 Jahres Mittelwert über alle Stationen,21
2014,3 Jahres Mittelwert über alle Stationen,20
2015,3 Jahres Mittelwert über alle Stationen,21
2016,3 Jahres Mittelwert über alle Stationen,20
2017,3 Jahres Mittelwert über alle Stationen,18
2018,3 Jahres Mittelwert über alle Stationen,18
2019,3 Jahres Mittelwert über alle Stationen,18
2020,3 Jahres Mittelwert über alle Stationen,17
2021,3 Jahres Mittelwert über alle Stationen,16
2022,3 Jahres Mittelwert über alle Stationen,15
2023,3 Jahres Mittelwert über alle Stationen,14
2024,3 Jahres Mittelwert über alle Stationen,13
