Year,Art des Abschlusses,Value
2023,ohne ESA (mit Migrationshintergrund),20.70665571
2023,ohne ESA (ohne Migrationshintergrund),7.686201879
2023,ESA (mit Migrationshintergrund),28.18405916
2023,ESA (ohne Migrationshintergrund),17.25095912
2023,MSA (mit Migrationshintergrund),33.11421528
2023,MSA (ohne Migrationshintergrund),32.22648498
2023,Fachhochschulreife (mit Migrationshintergrund),3.12243221
2023,Fachhochschulreife (ohne Migrationshintergrund),4.683159148
2023,Hochschulreife (mit Migrationshintergrund),14.87263763
2023,Hochschulreife (ohne Migrationshintergrund),38.1399656
2012,ohne ESA (ohne Migrationshintergrund),7.1
2012,ohne ESA (mit Migrationshintergrund),10.2
2012,ESA (ohne Migrationshintergrund),22.7
2012,ESA (mit Migrationshintergrund),34.8
2012,MSA (ohne Migrationshintergrund),36.6
2012,MSA (mit Migrationshintergrund),34.4
2012,Fachhochschulreife (ohne Migrationshintergrund),2.6
2012,Fachhochschulreife (mit Migrationshintergrund),2.8
2012,Hochschulreife (ohne Migrationshintergrund),31
2012,Hochschulreife (mit Migrationshintergrund),17.7
2017,ohne ESA (ohne Migrationshintergrund),6.8
2017,ohne ESA (mit Migrationshintergrund),14.8
2017,ESA (ohne Migrationshintergrund),16.1
2017,ESA (mit Migrationshintergrund),25.3
2017,MSA (ohne Migrationshintergrund),34.6
2017,MSA (mit Migrationshintergrund),34.9
2017,Fachhochschulreife (ohne Migrationshintergrund),3.8
2017,Fachhochschulreife (mit Migrationshintergrund),3.1
2017,Hochschulreife (ohne Migrationshintergrund),38.7
2017,Hochschulreife (mit Migrationshintergrund),21.8
