Year,Stufe,Value
2006,Qualitätsstufe 1,6
2007,Qualitätsstufe 1,25
2008,Qualitätsstufe 1,35
2009,Qualitätsstufe 1,34
2010,Qualitätsstufe 1,72
2011,Qualitätsstufe 1,76
2012,Qualitätsstufe 1,83
2013,Qualitätsstufe 1,91
2014,Qualitätsstufe 1,87
2015,Qualitätsstufe 1,82
2016,Qualitätsstufe 1,82
2017,Qualitätsstufe 1,91
2018,Qualitätsstufe 1,96
2019,Qualitätsstufe 1,83
2020,Qualitätsstufe 1,49
2021,Qualitätsstufe 1,40
2022,Qualitätsstufe 1,39
2023,Qualitätsstufe 1,41
2024,Qualitätsstufe 1,28
2006,Qualitätsstufe 2,5
2007,Qualitätsstufe 2,18
2008,Qualitätsstufe 2,28
2009,Qualitätsstufe 2,29
2010,Qualitätsstufe 2,58
2011,Qualitätsstufe 2,79
2012,Qualitätsstufe 2,104
2013,Qualitätsstufe 2,128
2014,Qualitätsstufe 2,132
2015,Qualitätsstufe 2,136
2016,Qualitätsstufe 2,109
2017,Qualitätsstufe 2,128
2018,Qualitätsstufe 2,104
2019,Qualitätsstufe 2,115
2020,Qualitätsstufe 2,126
2021,Qualitätsstufe 2,124
2022,Qualitätsstufe 2,133
2023,Qualitätsstufe 2,154
2024,Qualitätsstufe 2,191
2006,Qualitätsstufe 3,4
2007,Qualitätsstufe 3,6
2008,Qualitätsstufe 3,12
2009,Qualitätsstufe 3,13
2010,Qualitätsstufe 3,18
2011,Qualitätsstufe 3,25
2012,Qualitätsstufe 3,28
2013,Qualitätsstufe 3,34
2014,Qualitätsstufe 3,33
2015,Qualitätsstufe 3,36
2016,Qualitätsstufe 3,43
2017,Qualitätsstufe 3,45
2018,Qualitätsstufe 3,43
2019,Qualitätsstufe 3,40
2020,Qualitätsstufe 3,46
2021,Qualitätsstufe 3,53
2022,Qualitätsstufe 3,43
2023,Qualitätsstufe 3,55
2024,Qualitätsstufe 3,66
