Year,Kontinente,Value
2005,Inländer,91.86053883
2006,Inländer,91.89375863
2007,Inländer,91.95230068
2008,Inländer,92.14166098
2009,Inländer,92.4379771
2010,Inländer,92.71018396
2011,Inländer,92.78226028
2012,Inländer,92.68292683
2013,Inländer,92.73572803
2014,Inländer,92.52361385
2015,Inländer,92.41901776
2016,Inländer,91.94493116
2017,Inländer,92.14611429
2018,Inländer,91.97185724
2019,Inländer,91.84942868
2020,Inländer,92.05657836
2021,Inländer,91.70484366
2022,Inländer,91.38462934
2023,Inländer,90.95331649
2005,EU ohne DE,1.977812995
2006,EU ohne DE,1.839758885
2007,EU ohne DE,2.079041019
2008,EU ohne DE,1.897909818
2009,EU ohne DE,1.711593511
2010,EU ohne DE,1.656255373
2011,EU ohne DE,1.63016631
2012,EU ohne DE,1.647841982
2013,EU ohne DE,1.608937353
2014,EU ohne DE,1.579593361
2015,EU ohne DE,1.556948798
2016,EU ohne DE,1.521902378
2017,EU ohne DE,1.503832347
2018,EU ohne DE,1.421116392
2019,EU ohne DE,1.359196461
2020,EU ohne DE,1.171980242
2021,EU ohne DE,1.192011742
2022,EU ohne DE,1.24308139
2023,EU ohne DE,1.281691459
2005,Europa ohne EU und ohne DE,2.288431062
2006,Europa ohne EU und ohne DE,2.222780359
2007,Europa ohne EU und ohne DE,1.804332896
2008,Europa ohne EU und ohne DE,1.780065745
2009,Europa ohne EU und ohne DE,1.777194656
2010,Europa ohne EU und ohne DE,1.70783426
2011,Europa ohne EU und ohne DE,1.723475493
2012,Europa ohne EU und ohne DE,1.724232007
2013,Europa ohne EU und ohne DE,1.662390421
2014,Europa ohne EU und ohne DE,1.64363093
2015,Europa ohne EU und ohne DE,1.556948798
2016,Europa ohne EU und ohne DE,1.521902378
2017,Europa ohne EU und ohne DE,1.469874842
2018,Europa ohne EU und ohne DE,1.346566024
2019,Europa ohne EU und ohne DE,1.257832658
2020,Europa ohne EU und ohne DE,1.24831612
2021,Europa ohne EU und ohne DE,1.320998087
2022,Europa ohne EU und ohne DE,1.274838944
2023,Europa ohne EU und ohne DE,1.291046871
2005,Afrika,0.798732171
2006,Afrika,0.835112395
2007,Afrika,0.817881001
2008,Afrika,0.806301557
2009,Afrika,0.733540076
2010,Afrika,0.676256519
2011,Afrika,0.686096932
2012,Afrika,0.665684509
2013,Afrika,0.668163353
2014,Afrika,0.688403864
2015,Afrika,0.694879833
2016,Afrika,0.770963705
2017,Afrika,0.824682255
2018,Afrika,0.880626223
2019,Afrika,0.903059344
2020,Afrika,0.916030534
2021,Afrika,0.907352222
2022,Afrika,0.902821885
2023,Afrika,0.977640565
2005,Amerika,0.443740095
2006,Amerika,0.477207083
2007,Amerika,0.493225947
2008,Amerika,0.55820877
2009,Amerika,0.536736641
2010,Amerika,0.596022695
2011,Amerika,0.587298974
2012,Amerika,0.54564304
2013,Amerika,0.539875989
2014,Amerika,0.576338118
2015,Amerika,0.574712644
2016,Amerika,0.605757196
2017,Amerika,0.538469002
2018,Amerika,0.535830771
2019,Amerika,0.543678585
2020,Amerika,0.458015267
2021,Amerika,0.458123916
2022,Amerika,0.458216133
2023,Amerika,0.481803723
2005,Asien,2.605388273
2006,Asien,2.706266482
2007,Asien,2.815758257
2008,Asien,2.79724617
2009,Asien,2.779103053
2010,Asien,2.624792252
2011,Asien,2.557769362
2012,Asien,2.71184591
2013,Asien,2.758178319
2014,Asien,2.977746945
2015,Asien,3.176593521
2016,Asien,3.614518148
2017,Asien,3.487920831
2018,Asien,3.788090579
2019,Asien,4.026907482
2020,Asien,4.081724293
2021,Asien,4.345505493
2022,Asien,4.668360403
2023,Asien,4.95369071
2005,Austr./Ozean.,0.006339144
2006,Austr./Ozean.,0.006279041
2007,Austr./Ozean.,0.012486733
2008,Austr./Ozean.,0.00620232
2009,Austr./Ozean.,0.011927481
2010,Austr./Ozean.,0.011461975
2011,Austr./Ozean.,0.016466326
2012,Austr./Ozean.,0.010912861
2013,Austr./Ozean.,0.010690614
2014,Austr./Ozean.,0.005336464
2015,Austr./Ozean.,0.010449321
2016,Austr./Ozean.,0.005006258
2017,Austr./Ozean.,0.009702144
2018,Austr./Ozean.,0.013978194
2019,Austr./Ozean.,0.023037228
2020,Austr./Ozean.,0.022451729
2021,Austr./Ozean.,0.01779122
2022,Austr./Ozean.,0.009073587
2023,Austr./Ozean.,0.009355412
2005,sonst./unbek.,0.019017433
2006,sonst./unbek.,0.018837122
2007,sonst./unbek.,0.024973466
2008,sonst./unbek.,0.012404639
2009,sonst./unbek.,0.011927481
2010,sonst./unbek.,0.017192962
2011,sonst./unbek.,0.016466326
2012,sonst./unbek.,0.010912861
2013,sonst./unbek.,0.01603592
2014,sonst./unbek.,0.005336464
2015,sonst./unbek.,0.010449321
2016,sonst./unbek.,0.015018773
2017,sonst./unbek.,0.019404288
2018,sonst./unbek.,0.041934582
2019,sonst./unbek.,0.036859565
2020,sonst./unbek.,0.044903458
2021,sonst./unbek.,0.05337366
2022,sonst./unbek.,0.058978314
2023,sonst./unbek.,0.051454767
2005,Insgesamt,100
2006,Insgesamt,100
2007,Insgesamt,100
2008,Insgesamt,100
2009,Insgesamt,100
2010,Insgesamt,100
2011,Insgesamt,100
2012,Insgesamt,100
2013,Insgesamt,100
2014,Insgesamt,100
2015,Insgesamt,100
2016,Insgesamt,100
2017,Insgesamt,100
2018,Insgesamt,100
2019,Insgesamt,100
2020,Insgesamt,100
2021,Insgesamt,100
2022,Insgesamt,100
2023,Insgesamt,100
