Year,Raum,Value
2005,Deutschland,84
2008,Deutschland,86
2011,Deutschland,87
2014,Deutschland,87
2015,Deutschland,87
2016,Deutschland,87
2017,Deutschland,87
2005,Schleswig-Holstein,84
2008,Schleswig-Holstein,85
2011,Schleswig-Holstein,86
2014,Schleswig-Holstein,86
2015,Schleswig-Holstein,87
2016,Schleswig-Holstein,84
2017,Schleswig-Holstein,84
2005,OECD-Durchschnitt,85
2008,OECD-Durchschnitt,85
2011,OECD-Durchschnitt,85
2014,OECD-Durchschnitt,85
2015,OECD-Durchschnitt,85
2016,OECD-Durchschnitt,85
2017,OECD-Durchschnitt,85
