Year,Führungsebene,Value
2008,Oberste Führungsebene,25
2012,Oberste Führungsebene,27
2014,Oberste Führungsebene,23
2016,Oberste Führungsebene,23
2018,Oberste Führungsebene,25
2020,Oberste Führungsebene,24
2022,Oberste Führungsebene,27
2024,Oberste Führungsebene,30
2008,Zweite Führungsebene,41
2012,Zweite Führungsebene,39
2014,Zweite Führungsebene,41
2016,Zweite Führungsebene,37
2018,Zweite Führungsebene,42
2020,Zweite Führungsebene,39
2022,Zweite Führungsebene,41
2024,Zweite Führungsebene,41
