Year,Produktivitätsindex,Value
1991,Endenergieproduktivität,100
1992,Endenergieproduktivität,101.21
1993,Endenergieproduktivität,98.49
1994,Endenergieproduktivität,101.99
1995,Endenergieproduktivität,103.71
1996,Endenergieproduktivität,100.14
1997,Endenergieproduktivität,105.82
1998,Endenergieproduktivität,108.46
1999,Endenergieproduktivität,111.94
2000,Endenergieproduktivität,116.59
2001,Endenergieproduktivität,116.05
2002,Endenergieproduktivität,120.59
2003,Endenergieproduktivität,117.61
2004,Endenergieproduktivität,121.79
2005,Endenergieproduktivität,127.65
2006,Endenergieproduktivität,129.64
2007,Endenergieproduktivität,140.76
2008,Endenergieproduktivität,138.95
2009,Endenergieproduktivität,138.64
2010,Endenergieproduktivität,131.81
2011,Endenergieproduktivität,142.05
2012,Endenergieproduktivität,138.68
2013,Endenergieproduktivität,132.34
2014,Endenergieproduktivität,143.00
2015,Endenergieproduktivität,142.19
2016,Endenergieproduktivität,145.21
2017,Endenergieproduktivität,148.54
2018,Endenergieproduktivität,149.78
2019,Endenergieproduktivität,159.93
2020,Endenergieproduktivität,156.08
2021,Endenergieproduktivität,151.03
2022,Endenergieproduktivität,158.35
2023,Endenergieproduktivität,166.49
2024,Endenergieproduktivität,177.22
1991,Treibhausgasproduktivität,100
1992,Treibhausgasproduktivität,100.32
1993,Treibhausgasproduktivität,96.50
1994,Treibhausgasproduktivität,99.06
1995,Treibhausgasproduktivität,104.48
1996,Treibhausgasproduktivität,104.50
1997,Treibhausgasproduktivität,108.80
1998,Treibhausgasproduktivität,110.56
1999,Treibhausgasproduktivität,114.07
2000,Treibhausgasproduktivität,119.49
2001,Treibhausgasproduktivität,114.48
2002,Treibhausgasproduktivität,119.38
2003,Treibhausgasproduktivität,119.34
2004,Treibhausgasproduktivität,127.30
2005,Treibhausgasproduktivität,131.65
2006,Treibhausgasproduktivität,135.16
2007,Treibhausgasproduktivität,148.65
2008,Treibhausgasproduktivität,142.65
2009,Treibhausgasproduktivität,142.20
2010,Treibhausgasproduktivität,139.99
2011,Treibhausgasproduktivität,152.58
2012,Treibhausgasproduktivität,147.99
2013,Treibhausgasproduktivität,145.02
2014,Treibhausgasproduktivität,153.97
2015,Treibhausgasproduktivität,157.58
2016,Treibhausgasproduktivität,162.13
2017,Treibhausgasproduktivität,167.19
2018,Treibhausgasproduktivität,172.22
2019,Treibhausgasproduktivität,187.39
2020,Treibhausgasproduktivität,186.79
2021,Treibhausgasproduktivität,187.85
2022,Treibhausgasproduktivität,196.22
2023,Treibhausgasproduktivität,200.54
2024,Treibhausgasproduktivität,204.72
2025,Treibhausgasproduktivität,208.27
