Year,Verbrauchssektor,Value
2006,Industrie,12.16
2007,Industrie,12.45
2008,Industrie,12.42
2009,Industrie,11.93
2010,Industrie,13.28
2011,Industrie,12.89
2012,Industrie,12.58
2013,Industrie,12.35
2014,Industrie,11.53
2015,Industrie,11.74
2016,Industrie,11.65
2017,Industrie,11.63
2018,Industrie,12.31
2019,Industrie,12.18
2020,Industrie,12.04
2021,Industrie,12.48
2022,Industrie,11.78
2023,Industrie,11.19
2024,Industrie,10.90
2006,Verkehr,21.90
2007,Verkehr,21.59
2008,Verkehr,20.91
2009,Verkehr,20.76
2010,Verkehr,20.87
2011,Verkehr,20.61
2012,Verkehr,20.74
2013,Verkehr,21.24
2014,Verkehr,21.34
2015,Verkehr,21.65
2016,Verkehr,22.11
2017,Verkehr,22.26
2018,Verkehr,21.68
2019,Verkehr,21.71
2020,Verkehr,20.07
2021,Verkehr,20.15
2022,Verkehr,20.30
2023,Verkehr,19.76
2024,Verkehr,20.09
2006,Haushalte,28.81
2007,Haushalte,25.23
2008,Haushalte,27.80
2009,Haushalte,27.26
2010,Haushalte,29.68
2011,Haushalte,27.17
2012,Haushalte,27.80
2013,Haushalte,28.43
2014,Haushalte,25.14
2015,Haushalte,26.41
2016,Haushalte,26.78
2017,Haushalte,26.72
2018,Haushalte,26.73
2019,Haushalte,26.18
2020,Haushalte,26.71
2021,Haushalte,27.99
2022,Haushalte,25.37
2023,Haushalte,24.29
2024,Haushalte,24.02
2006,Gewerbe/ Handel/ Dienstleistungen,14.19
2007,Gewerbe/ Handel/ Dienstleistungen,12.48
2008,Gewerbe/ Handel/ Dienstleistungen,13.48
2009,Gewerbe/ Handel/ Dienstleistungen,12.37
2010,Gewerbe/ Handel/ Dienstleistungen,13.04
2011,Gewerbe/ Handel/ Dienstleistungen,12.87
2012,Gewerbe/ Handel/ Dienstleistungen,16.16
2013,Gewerbe/ Handel/ Dienstleistungen,18.20
2014,Gewerbe/ Handel/ Dienstleistungen,17.48
2015,Gewerbe/ Handel/ Dienstleistungen,16.93
2016,Gewerbe/ Handel/ Dienstleistungen,16.35
2017,Gewerbe/ Handel/ Dienstleistungen,16.93
2018,Gewerbe/ Handel/ Dienstleistungen,16.22
2019,Gewerbe/ Handel/ Dienstleistungen,14.05
2020,Gewerbe/ Handel/ Dienstleistungen,15.39
2021,Gewerbe/ Handel/ Dienstleistungen,15.78
2022,Gewerbe/ Handel/ Dienstleistungen,16.21
2023,Gewerbe/ Handel/ Dienstleistungen,14.13
2024,Gewerbe/ Handel/ Dienstleistungen,12.85
