Year,Finanzierungssaldo,Value
2008,Struktureller Finanzierungssaldo je Einwohnerin und Einwohner,-91
2009,Struktureller Finanzierungssaldo je Einwohnerin und Einwohner,-354
2010,Struktureller Finanzierungssaldo je Einwohnerin und Einwohner,-447
2011,Struktureller Finanzierungssaldo je Einwohnerin und Einwohner,-196
2012,Struktureller Finanzierungssaldo je Einwohnerin und Einwohner,-87
2013,Struktureller Finanzierungssaldo je Einwohnerin und Einwohner,-24
2014,Struktureller Finanzierungssaldo je Einwohnerin und Einwohner,13
2015,Struktureller Finanzierungssaldo je Einwohnerin und Einwohner,35
2016,Struktureller Finanzierungssaldo je Einwohnerin und Einwohner,78
2017,Struktureller Finanzierungssaldo je Einwohnerin und Einwohner,16
2018,Struktureller Finanzierungssaldo je Einwohnerin und Einwohner,224
2019,Struktureller Finanzierungssaldo je Einwohnerin und Einwohner,43
2020,Struktureller Finanzierungssaldo je Einwohnerin und Einwohner,-50
2021,Struktureller Finanzierungssaldo je Einwohnerin und Einwohner,161
2022,Struktureller Finanzierungssaldo je Einwohnerin und Einwohner,-227
2023,Struktureller Finanzierungssaldo je Einwohnerin und Einwohner,-86
2024,Struktureller Finanzierungssaldo je Einwohnerin und Einwohner,-44
