Year,Schuldenstand,Value
2008,Schuldenstand je Einwohnerin und Einwohner,7891
2009,Schuldenstand je Einwohnerin und Einwohner,8545
2010,Schuldenstand je Einwohnerin und Einwohner,9013
2011,Schuldenstand je Einwohnerin und Einwohner,9349
2012,Schuldenstand je Einwohnerin und Einwohner,9607
2013,Schuldenstand je Einwohnerin und Einwohner,9394
2014,Schuldenstand je Einwohnerin und Einwohner,9566
2015,Schuldenstand je Einwohnerin und Einwohner,9447
2016,Schuldenstand je Einwohnerin und Einwohner,9270
2017,Schuldenstand je Einwohnerin und Einwohner,8894
2018,Schuldenstand je Einwohnerin und Einwohner,9479
2019,Schuldenstand je Einwohnerin und Einwohner,9587
2020,Schuldenstand je Einwohnerin und Einwohner,10015
2021,Schuldenstand je Einwohnerin und Einwohner,10642
2022,Schuldenstand je Einwohnerin und Einwohner,11124
2023,Schuldenstand je Einwohnerin und Einwohner,10700
2024,Schuldenstand je Einwohnerin und Einwohner,10801
