Year,Series,Arbeitslosenquoten,Anteil der Arbeitslosen,Value
2008,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,7.6
2009,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,7.8
2010,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,7.5
2011,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,7.2
2012,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,6.9
2013,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,6.9
2014,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,6.8
2015,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,6.5
2016,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,6.3
2017,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,6
2018,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,5.5
2019,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,5.1
2020,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,5.8
2021,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,5.6
2022,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,5.2
2023,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,5.5
2024,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,5.7
2025,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,5.9
2008,Arbeitslosenquoten,Männer,,7.5
2009,Arbeitslosenquoten,Männer,,8.2
2010,Arbeitslosenquoten,Männer,,7.9
2011,Arbeitslosenquoten,Männer,,7.5
2012,Arbeitslosenquoten,Männer,,7.2
2013,Arbeitslosenquoten,Männer,,7.2
2014,Arbeitslosenquoten,Männer,,7.1
2015,Arbeitslosenquoten,Männer,,6.9
2016,Arbeitslosenquoten,Männer,,6.7
2017,Arbeitslosenquoten,Männer,,6.5
2018,Arbeitslosenquoten,Männer,,5.8
2019,Arbeitslosenquoten,Männer,,5.4
2020,Arbeitslosenquoten,Männer,,6.3
2021,Arbeitslosenquoten,Männer,,6
2022,Arbeitslosenquoten,Männer,,5.4
2023,Arbeitslosenquoten,Männer,,5.8
2024,Arbeitslosenquoten,Männer,,6.1
2025,Arbeitslosenquoten,Männer,,6.3
2008,Arbeitslosenquoten,Frauen,,7.7
2009,Arbeitslosenquoten,Frauen,,7.4
2010,Arbeitslosenquoten,Frauen,,7.1
2011,Arbeitslosenquoten,Frauen,,6.9
2012,Arbeitslosenquoten,Frauen,,6.6
2013,Arbeitslosenquoten,Frauen,,6.6
2014,Arbeitslosenquoten,Frauen,,6.4
2015,Arbeitslosenquoten,Frauen,,6
2016,Arbeitslosenquoten,Frauen,,5.8
2017,Arbeitslosenquoten,Frauen,,5.5
2018,Arbeitslosenquoten,Frauen,,5.1
2019,Arbeitslosenquoten,Frauen,,4.7
2020,Arbeitslosenquoten,Frauen,,5.3
2021,Arbeitslosenquoten,Frauen,,5.2
2022,Arbeitslosenquoten,Frauen,,4.9
2023,Arbeitslosenquoten,Frauen,,5.2
2024,Arbeitslosenquoten,Frauen,,5.3
2025,Arbeitslosenquoten,Frauen,,5.4
2008,Arbeitslosenquoten,Ausländer,,19.9
