Year,Geschlecht,Value
2005,Gesamt,24
2006,Gesamt,24.9
2007,Gesamt,25.4
2008,Gesamt,26
2009,Gesamt,26
2010,Gesamt,26.5
2011,Gesamt,25.2
2012,Gesamt,25
2013,Gesamt,25
2014,Gesamt,25.1
2015,Gesamt,25
2016,Gesamt,24.7
2017,Gesamt,24.5
2018,Gesamt,24.1
2019,Gesamt,23.7
2020,Gesamt,23.3
2021,Gesamt,22.7
2022,Gesamt,20.9
2023,Gesamt,19.2
2024,Gesamt,
2025,Gesamt,
2005,Frauen,39.3
2006,Frauen,39.9
2007,Frauen,40.3
2008,Frauen,41.2
2009,Frauen,40.7
2010,Frauen,40.7
2011,Frauen,36.7
2012,Frauen,36.3
2013,Frauen,35.8
2014,Frauen,35.5
2015,Frauen,35
2016,Frauen,34.2
2017,Frauen,33.4
2018,Frauen,32.7
2019,Frauen,31.8
2020,Frauen,31.3
2021,Frauen,30.1
2022,Frauen,27.8
2023,Frauen,25.5
2024,Frauen,
2025,Frauen,
