Year,Materialverbrauch,Value
1994,Materialverbrauch,12.91120131
1995,Materialverbrauch,13.92622122
1996,Materialverbrauch,12.98628937
1997,Materialverbrauch,12.51748498
1998,Materialverbrauch,12.72432488
1999,Materialverbrauch,12.74955365
2000,Materialverbrauch,11.98092249
2001,Materialverbrauch,11.87182053
2002,Materialverbrauch,11.18314711
2003,Materialverbrauch,11.04571842
2004,Materialverbrauch,12.07839413
2005,Materialverbrauch,12.33384292
2006,Materialverbrauch,13.66323743
2007,Materialverbrauch,12.5005054
2008,Materialverbrauch,11.73753498
2009,Materialverbrauch,11.91524629
2010,Materialverbrauch,13.03973231
2011,Materialverbrauch,13.3303245
2012,Materialverbrauch,14.12900863
2013,Materialverbrauch,14.13849883
2014,Materialverbrauch,14.66641555
2015,Materialverbrauch,14.1545559
2016,Materialverbrauch,14.88249681
2017,Materialverbrauch,13.55508246
2018,Materialverbrauch,12.87866432
2019,Materialverbrauch,13.44753653
2020,Materialverbrauch,13.51766127
2021,Materialverbrauch,14.66509788
