Year,Rohstoffproduktivität,Value
1994,Rohstoffproduktivität,100
1995,Rohstoffproduktivität,96.54216125
1996,Rohstoffproduktivität,101.0778843
1997,Rohstoffproduktivität,105.0194998
1998,Rohstoffproduktivität,104.7429545
1999,Rohstoffproduktivität,98.97569347
2000,Rohstoffproduktivität,100.8761379
2001,Rohstoffproduktivität,102.0239312
2002,Rohstoffproduktivität,101.1962563
2003,Rohstoffproduktivität,95.0713072
2004,Rohstoffproduktivität,96.56726181
2005,Rohstoffproduktivität,91.99913209
2006,Rohstoffproduktivität,88.14617691
2007,Rohstoffproduktivität,93.54405378
2008,Rohstoffproduktivität,96.9751186
2009,Rohstoffproduktivität,95.13813551
2010,Rohstoffproduktivität,96.89368379
2011,Rohstoffproduktivität,97.02603028
2012,Rohstoffproduktivität,97.68077199
2013,Rohstoffproduktivität,96.09168655
2014,Rohstoffproduktivität,94.04502831
2015,Rohstoffproduktivität,95.26863671
2016,Rohstoffproduktivität,94.70352252
2017,Rohstoffproduktivität,98.18455055
2018,Rohstoffproduktivität,105.5434929
2019,Rohstoffproduktivität,104.7374566
2020,Rohstoffproduktivität,103.8039091
2021,Rohstoffproduktivität,101.0688917
