Year,Fairtrade-Towns,Value
2011,Fairtrade-Towns (Städte Kreise Gemeinden),1
2012,Fairtrade-Towns (Städte Kreise Gemeinden),3
2013,Fairtrade-Towns (Städte Kreise Gemeinden),6
2014,Fairtrade-Towns (Städte Kreise Gemeinden),11
2015,Fairtrade-Towns (Städte Kreise Gemeinden),14
2016,Fairtrade-Towns (Städte Kreise Gemeinden),15
2017,Fairtrade-Towns (Städte Kreise Gemeinden),18
2018,Fairtrade-Towns (Städte Kreise Gemeinden),22
2019,Fairtrade-Towns (Städte Kreise Gemeinden),23
2020,Fairtrade-Towns (Städte Kreise Gemeinden),25
2021,Fairtrade-Towns (Städte Kreise Gemeinden),27
2022,Fairtrade-Towns (Städte Kreise Gemeinden),28
2023,Fairtrade-Towns (Städte Kreise Gemeinden),32
2024,Fairtrade-Towns (Städte Kreise Gemeinden),33
