Year,Datenquelle,Value
2015,Berechnungen des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),NaN
2016,Berechnungen des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),25
2017,Berechnungen des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),33
2018,Berechnungen des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),35
2019,Berechnungen des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),39
2020,Berechnungen des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),53
2021,Berechnungen des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),58
2022,Berechnungen des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),62
2023,Berechnungen des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),70
2024,Berechnungen des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),77
2025,Berechnungen des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),84
2015,Zahlen des Breitbandatlasses des Bundes,15
2016,Zahlen des Breitbandatlasses des Bundes,17.2
2017,Zahlen des Breitbandatlasses des Bundes,20.1
2018,Zahlen des Breitbandatlasses des Bundes,21.3
2019,Zahlen des Breitbandatlasses des Bundes,26.3
2020,Zahlen des Breitbandatlasses des Bundes,31.1
2021,Zahlen des Breitbandatlasses des Bundes,31.7
2022,Zahlen des Breitbandatlasses des Bundes,46.6
2023,Zahlen des Breitbandatlasses des Bundes,59.1
2024,Zahlen des Breitbandatlasses des Bundes,62.2
2025,Zahlen des Breitbandatlasses des Bundes,74.4
