Year,Ausgaben für Forschung und Entwicklung,Value
1995,FuE in Relation zum BIP,1.08
1997,FuE in Relation zum BIP,1.06
1999,FuE in Relation zum BIP,1.08
2000,FuE in Relation zum BIP,1.09
2001,FuE in Relation zum BIP,1.14
2002,FuE in Relation zum BIP,1.21
2003,FuE in Relation zum BIP,1.15
2004,FuE in Relation zum BIP,1.09
2005,FuE in Relation zum BIP,1.15
2006,FuE in Relation zum BIP,1.21
2007,FuE in Relation zum BIP,1.19
2008,FuE in Relation zum BIP,1.24
2009,FuE in Relation zum BIP,1.3
2010,FuE in Relation zum BIP,1.32
2011,FuE in Relation zum BIP,1.42
2012,FuE in Relation zum BIP,1.45
2013,FuE in Relation zum BIP,1.5
2014,FuE in Relation zum BIP,1.55
2015,FuE in Relation zum BIP,1.5
2016,FuE in Relation zum BIP,1.53
2017,FuE in Relation zum BIP,1.58
2018,FuE in Relation zum BIP,1.64
2019,FuE in Relation zum BIP,1.68
2020,FuE in Relation zum BIP,1.62
2021,FuE in Relation zum BIP,1.68
2022,FuE in Relation zum BIP,1.68
