Year,Art der Hilfe,Value
2006,Gesamt,286363
2007,Gesamt,277729
2008,Gesamt,265933
2009,Gesamt,263092
2010,Gesamt,252749
2011,Gesamt,252556
2012,Gesamt,254287
2013,Gesamt,261085
2014,Gesamt,269157
2015,Gesamt,295124
2016,Gesamt,296061
2017,Gesamt,287777
2018,Gesamt,275913
2019,Gesamt,262776
2020,Gesamt,263656
2021,Gesamt,247773
2022,Gesamt,260279
2023,Gesamt,266700
2006,SGB II,250657
2007,SGB II,241189
2008,SGB II,227016
2009,SGB II,223701
2010,SGB II,211246
2011,SGB II,208535
2012,SGB II,207297
2013,SGB II,209181
2014,SGB II,210692
2015,SGB II,211892
2016,SGB II,219975
2017,SGB II,223101
2018,SGB II,210752
2019,SGB II,198338
2020,SGB II,196421
2021,SGB II,180693
2022,SGB II,191154
2023,SGB II,194285
2006,SGB XII - HLU,4767
2007,SGB XII - HLU,4987
2008,SGB XII - HLU,5498
2009,SGB XII - HLU,5580
2010,SGB XII - HLU,6039
2011,SGB XII - HLU,6372
2012,SGB XII - HLU,6599
2013,SGB XII - HLU,7004
2014,SGB XII - HLU,7435
2015,SGB XII - HLU,7580
2016,SGB XII - HLU,7305
2017,SGB XII - HLU,6865
2018,SGB XII - HLU,7060
2019,SGB XII - HLU,6687
2020,SGB XII - HLU,6680
2021,SGB XII - HLU,5855
2022,SGB XII - HLU,5925
2023,SGB XII - HLU,5540
2006,SGB XII - Grundsicherung,26519
2007,SGB XII - Grundsicherung,27358
2008,SGB XII - Grundsicherung,29707
2009,SGB XII - Grundsicherung,29999
2010,SGB XII - Grundsicherung,31425
2011,SGB XII - Grundsicherung,33177
2012,SGB XII - Grundsicherung,34982
2013,SGB XII - Grundsicherung,37346
2014,SGB XII - Grundsicherung,38782
2015,SGB XII - Grundsicherung,39708
2016,SGB XII - Grundsicherung,39305
2017,SGB XII - Grundsicherung,41095
2018,SGB XII - Grundsicherung,42339
2019,SGB XII - Grundsicherung,42253
2020,SGB XII - Grundsicherung,43290
2021,SGB XII - Grundsicherung,45175
2022,SGB XII - Grundsicherung,47635
2023,SGB XII - Grundsicherung,48760
2006,AsylbLG,4420
2007,AsylbLG,4195
2008,AsylbLG,3712
2009,AsylbLG,3812
2010,AsylbLG,4039
2011,AsylbLG,4472
2012,AsylbLG,5409
2013,AsylbLG,7554
2014,AsylbLG,12248
2015,AsylbLG,35944
2016,AsylbLG,29476
2017,AsylbLG,16716
2018,AsylbLG,15762
2019,AsylbLG,15498
2020,AsylbLG,17265
2021,AsylbLG,16050
2022,AsylbLG,15565
2023,AsylbLG,18115
