Year,Hilfearten,Value
2006,SGB XII - HLU,4767
2007,SGB XII - HLU,4987
2008,SGB XII - HLU,5498
2009,SGB XII - HLU,5580
2010,SGB XII - HLU,6039
2011,SGB XII - HLU,6372
2012,SGB XII - HLU,6599
2013,SGB XII - HLU,7004
2014,SGB XII - HLU,7435
2015,SGB XII - HLU,7580
2016,SGB XII - HLU,7305
2017,SGB XII - HLU,6865
2006,AsylbLG,4420
2007,AsylbLG,4195
2008,AsylbLG,3712
2009,AsylbLG,3812
2010,AsylbLG,4039
2011,AsylbLG,4472
2012,AsylbLG,5409
2013,AsylbLG,7554
2014,AsylbLG,12248
2015,AsylbLG,35944
2016,AsylbLG,29476
2017,AsylbLG,16716
2006,SGB XII - Grundsicherung,26519
2007,SGB XII - Grundsicherung,27358
2008,SGB XII - Grundsicherung,29707
2009,SGB XII - Grundsicherung,29999
2010,SGB XII - Grundsicherung,31425
2011,SGB XII - Grundsicherung,33177
2012,SGB XII - Grundsicherung,34982
2013,SGB XII - Grundsicherung,37346
2014,SGB XII - Grundsicherung,38782
2015,SGB XII - Grundsicherung,39708
2016,SGB XII - Grundsicherung,39305
2017,SGB XII - Grundsicherung,41095
2006,SGB II,250657
2007,SGB II,241189
2008,SGB II,227016
2009,SGB II,223701
2010,SGB II,211246
2011,SGB II,208535
2012,SGB II,207297
2013,SGB II,209181
2014,SGB II,210692
2015,SGB II,211892
2016,SGB II,219975
2017,SGB II,223101
