Year,Kreis/Gemeinde/kreisfreie Stadt,Value
2019,Nordfriesland,10
2024,Nordfriesland,6
2019,Pinneberg,10
2024,Pinneberg,12
2019,Stormarn,9
2024,Stormarn,11
2019,Herzogtum Lauenburg,7
2024,Herzogtum Lauenburg,5
2019,Rendsburg-Eckernförde,7
2024,Rendsburg-Eckernförde,13
2019,Ostholstein,6
2024,Ostholstein,6
2019,Segeberg,6
2024,Segeberg,11
2019,Schleswig-Flensburg,5
2024,Schleswig-Flensburg,6
2019,Steinburg,4
2024,Steinburg,3
2019,Dithmarschen,2
2024,Dithmarschen,3
2019,Plön,2
2024,Plön,6
2019,Neumünster,1
2024,Neumünster,1
2019,Kiel,1
2024,Kiel,1
2019,Flensburg,1
2024,Flensburg,1
2019,Gesamt,71
2024,Gesamt,85
