Year,Aufkommen,Value
2005,Siedlungsabfälle (SH),451.0
2006,Siedlungsabfälle (SH),457.0
2007,Siedlungsabfälle (SH),457.0
2008,Siedlungsabfälle (SH),454.0
2009,Siedlungsabfälle (SH),457.0
2010,Siedlungsabfälle (SH),454.0
2011,Siedlungsabfälle (SH),468.0
2012,Siedlungsabfälle (SH),460.0
2013,Siedlungsabfälle (SH),448.0
2014,Siedlungsabfälle (SH),465.0
2015,Siedlungsabfälle (SH),467.0
2016,Siedlungsabfälle (SH),468.0
2017,Siedlungsabfälle (SH),473.0
2005,Haus- und Sperrmüll (SH),234.0
2006,Haus- und Sperrmüll (SH),233.0
2007,Haus- und Sperrmüll (SH),231.0
2008,Haus- und Sperrmüll (SH),227.0
2009,Haus- und Sperrmüll (SH),229.0
2010,Haus- und Sperrmüll (SH),226.0
2011,Haus- und Sperrmüll (SH),234.0
2012,Haus- und Sperrmüll (SH),230.0
2013,Haus- und Sperrmüll (SH),224.0
2014,Haus- und Sperrmüll (SH),234.0
2015,Haus- und Sperrmüll (SH),230.0
2016,Haus- und Sperrmüll (SH),229.0
2017,Haus- und Sperrmüll (SH),228.0
2005,Leichtverpackungen (SH),31.0
2006,Leichtverpackungen (SH),33.0
2007,Leichtverpackungen (SH),31.0
2008,Leichtverpackungen (SH),32.0
2009,Leichtverpackungen (SH),32.0
2010,Leichtverpackungen (SH),33.0
2011,Leichtverpackungen (SH),34.0
2012,Leichtverpackungen (SH),33.0
2013,Leichtverpackungen (SH),34.0
2014,Leichtverpackungen (SH),34.0
2015,Leichtverpackungen (SH),34.0
2016,Leichtverpackungen (SH),35.0
2017,Leichtverpackungen (SH),35.0
2005,Siedlungsabfälle (Deutschland),400.0
2006,Siedlungsabfälle (Deutschland),405.0
2007,Siedlungsabfälle (Deutschland),403.0
2008,Siedlungsabfälle (Deutschland),397.0
2009,Siedlungsabfälle (Deutschland),401.0
2010,Siedlungsabfälle (Deutschland),399.0
2011,Siedlungsabfälle (Deutschland),403.0
2012,Siedlungsabfälle (Deutschland),396.0
2013,Siedlungsabfälle (Deutschland),393.0
2014,Siedlungsabfälle (Deutschland),396.0
2015,Siedlungsabfälle (Deutschland),391.0
2016,Siedlungsabfälle (Deutschland),395.0
2017,Siedlungsabfälle (Deutschland),
2005,Haus- und Sperrmüll (Deutschland),206.0
2006,Haus- und Sperrmüll (Deutschland),206.0
2007,Haus- und Sperrmüll (Deutschland),203.0
2008,Haus- und Sperrmüll (Deutschland),200.0
2009,Haus- und Sperrmüll (Deutschland),202.0
2010,Haus- und Sperrmüll (Deutschland),201.0
2011,Haus- und Sperrmüll (Deutschland),199.0
2012,Haus- und Sperrmüll (Deutschland),193.0
2013,Haus- und Sperrmüll (Deutschland),191.0
2014,Haus- und Sperrmüll (Deutschland),191.0
2015,Haus- und Sperrmüll (Deutschland),188.0
2016,Haus- und Sperrmüll (Deutschland),188.0
2017,Haus- und Sperrmüll (Deutschland),
2005,Leichtverpackungen (Deutschland),30.0
2006,Leichtverpackungen (Deutschland),31.0
2007,Leichtverpackungen (Deutschland),30.0
2008,Leichtverpackungen (Deutschland),30.0
2009,Leichtverpackungen (Deutschland),30.0
2010,Leichtverpackungen (Deutschland),31.0
2011,Leichtverpackungen (Deutschland),32.0
2012,Leichtverpackungen (Deutschland),32.0
2013,Leichtverpackungen (Deutschland),32.0
2014,Leichtverpackungen (Deutschland),33.0
2015,Leichtverpackungen (Deutschland),33.0
2016,Leichtverpackungen (Deutschland),33.0
2017,Leichtverpackungen (Deutschland),
