Year,Series,Nordsee,Ostsee,Qualität,Value
2009,Nordsee,Qualität,Qualität,sehr gut,0
2015,Nordsee,Qualität,Qualität,sehr gut,0
2021,Nordsee,Qualität,Qualität,sehr gut,0
2009,Nordsee,Qualität,Qualität,gut,0
2015,Nordsee,Qualität,Qualität,gut,0
2021,Nordsee,Qualität,Qualität,gut,0
2009,Nordsee,Qualität,Qualität,mäßig,6
2015,Nordsee,Qualität,Qualität,mäßig,9
2021,Nordsee,Qualität,Qualität,mäßig,9
2009,Nordsee,Qualität,Qualität,unbefriedigend,7
2015,Nordsee,Qualität,Qualität,unbefriedigend,2
2021,Nordsee,Qualität,Qualität,unbefriedigend,2
2009,Nordsee,Qualität,Qualität,schlecht,0
2015,Nordsee,Qualität,Qualität,schlecht,2
2021,Nordsee,Qualität,Qualität,schlecht,2
2009,Nordsee,Qualität,Qualität,nicht bestimmt/nicht bewertbar,0
2015,Nordsee,Qualität,Qualität,nicht bestimmt/nicht bewertbar,0
2021,Nordsee,Qualität,Qualität,nicht bestimmt/nicht bewertbar,0
2009,Ostsee,Qualität,Qualität,sehr gut,0
2015,Ostsee,Qualität,Qualität,sehr gut,0
2021,Ostsee,Qualität,Qualität,sehr gut,0
2009,Ostsee,Qualität,Qualität,gut,1
2015,Ostsee,Qualität,Qualität,gut,0
2021,Ostsee,Qualität,Qualität,gut,0
2009,Ostsee,Qualität,Qualität,mäßig,13
2015,Ostsee,Qualität,Qualität,mäßig,14
2021,Ostsee,Qualität,Qualität,mäßig,12
2009,Ostsee,Qualität,Qualität,unbefriedigend,9
2015,Ostsee,Qualität,Qualität,unbefriedigend,4
2021,Ostsee,Qualität,Qualität,unbefriedigend,7
2009,Ostsee,Qualität,Qualität,schlecht,4
2015,Ostsee,Qualität,Qualität,schlecht,9
2021,Ostsee,Qualität,Qualität,schlecht,8
2009,Ostsee,Qualität,Qualität,nicht bestimmt/nicht bewertbar,0
2015,Ostsee,Qualität,Qualität,nicht bestimmt/nicht bewertbar,0
2021,Ostsee,Qualität,Qualität,nicht bestimmt/nicht bewertbar,0
