Year,Raum,Value
2000,Ostsee,7.4
2001,Ostsee,8.0
2002,Ostsee,9.5
2003,Ostsee,7.6
2004,Ostsee,7.5
2005,Ostsee,7.6
2006,Ostsee,7.7
2007,Ostsee,7.9
2008,Ostsee,8.9
2009,Ostsee,8.2
2010,Ostsee,9.1
2011,Ostsee,9.3
2012,Ostsee,8.0
2013,Ostsee,7.7
2014,Ostsee,7.6
2015,Ostsee,6.9
2016,Ostsee,6.4
2017,Ostsee,6.4
2018,Ostsee,6.1
2019,Ostsee,6.0
2020,Ostsee,5.6
2021,Ostsee,5.5
2022,Ostsee,5.2
2023,Ostsee,5.7
2000,Nordsee,5.9
2001,Nordsee,6.7
2002,Nordsee,7.7
2003,Nordsee,6.5
2004,Nordsee,6.5
2005,Nordsee,6.6
2006,Nordsee,6.6
2007,Nordsee,6.8
2008,Nordsee,7.7
2009,Nordsee,7.5
2010,Nordsee,7.8
2011,Nordsee,8.1
2012,Nordsee,7.3
2013,Nordsee,6.9
2014,Nordsee,6.8
2015,Nordsee,6.9
2016,Nordsee,6.4
2017,Nordsee,6.8
2018,Nordsee,6.5
2019,Nordsee,6.6
2020,Nordsee,6.2
2021,Nordsee,6.3
2022,Nordsee,5.7
2023,Nordsee,6.4
2000,Elbe,9.6
2001,Elbe,11.0
2002,Elbe,12.6
2003,Elbe,11.4
2004,Elbe,11.3
2005,Elbe,10.8
2006,Elbe,10.3
2007,Elbe,10.7
2008,Elbe,12.3
2009,Elbe,11.6
2010,Elbe,12.7
2011,Elbe,13.1
2012,Elbe,11.5
2013,Elbe,10.9
2014,Elbe,11.5
2015,Elbe,10.8
2016,Elbe,10.4
2017,Elbe,10.4
2018,Elbe,9.6
2019,Elbe,9.2
2020,Elbe,8.9
2021,Elbe,8.6
2022,Elbe,7.8
2023,Elbe,8.5
