Year,Altersgruppe,Value
2006,Kita 0 - 2 Jahre,1.7
2007,Kita 0 - 2 Jahre,1.9
2008,Kita 0 - 2 Jahre,2.3
2009,Kita 0 - 2 Jahre,3.0
2010,Kita 0 - 2 Jahre,4.2
2011,Kita 0 - 2 Jahre,5.8
2012,Kita 0 - 2 Jahre,7.1
2013,Kita 0 - 2 Jahre,8.4
2014,Kita 0 - 2 Jahre,10.0
2015,Kita 0 - 2 Jahre,11.6
2016,Kita 0 - 2 Jahre,11.9
2017,Kita 0 - 2 Jahre,12.0
2018,Kita 0 - 2 Jahre,12.9
2006,Kita 3 - 5 Jahre,10.0
2007,Kita 3 - 5 Jahre,11.1
2008,Kita 3 - 5 Jahre,12.6
2009,Kita 3 - 5 Jahre,14.2
2010,Kita 3 - 5 Jahre,16.0
2011,Kita 3 - 5 Jahre,19.1
2012,Kita 3 - 5 Jahre,21.3
2013,Kita 3 - 5 Jahre,24.1
2014,Kita 3 - 5 Jahre,25.7
2015,Kita 3 - 5 Jahre,29.6
2016,Kita 3 - 5 Jahre,31.5
2017,Kita 3 - 5 Jahre,34.2
2018,Kita 3 - 5 Jahre,35.0
2006,Kita u. TP 0 - 2 Jahre,2.0
2007,Kita u. TP 0 - 2 Jahre,2.5
2008,Kita u. TP 0 - 2 Jahre,3.3
2009,Kita u. TP 0 - 2 Jahre,4.4
2010,Kita u. TP 0 - 2 Jahre,5.9
2011,Kita u. TP 0 - 2 Jahre,7.5
2012,Kita u. TP 0 - 2 Jahre,8.9
2013,Kita u. TP 0 - 2 Jahre,10.6
2014,Kita u. TP 0 - 2 Jahre,12.4
2015,Kita u. TP 0 - 2 Jahre,13.8
2016,Kita u. TP 0 - 2 Jahre,14.0
2017,Kita u. TP 0 - 2 Jahre,14.2
2018,Kita u. TP 0 - 2 Jahre,15.1
2006,Kita u. TP 3 - 5 Jahre,10.1
2007,Kita u. TP 3 - 5 Jahre,11.2
2008,Kita u. TP 3 - 5 Jahre,12.8
2009,Kita u. TP 3 - 5 Jahre,14.6
2010,Kita u. TP 3 - 5 Jahre,16.3
2011,Kita u. TP 3 - 5 Jahre,19.4
2012,Kita u. TP 3 - 5 Jahre,21.6
2013,Kita u. TP 3 - 5 Jahre,24.4
2014,Kita u. TP 3 - 5 Jahre,26.1
2015,Kita u. TP 3 - 5 Jahre,30.0
2016,Kita u. TP 3 - 5 Jahre,32.0
2017,Kita u. TP 3 - 5 Jahre,34.6
2018,Kita u. TP 3 - 5 Jahre,35.4
