Year,Region,Value
2005,Schleswig-Holstein,9.5
2006,Schleswig-Holstein,9.6
2007,Schleswig-Holstein,9.1
2008,Schleswig-Holstein,8.3
2009,Schleswig-Holstein,7.0
2010,Schleswig-Holstein,7.1
2011,Schleswig-Holstein,7.0
2012,Schleswig-Holstein,6.9
2013,Schleswig-Holstein,7.3
2014,Schleswig-Holstein,7.6
2015,Schleswig-Holstein,7.4
2016,Schleswig-Holstein,8.1
2017,Schleswig-Holstein,7.7
2005,Deutschland,8.1
2006,Deutschland,8.0
2007,Deutschland,7.7
2008,Deutschland,7.4
2009,Deutschland,6.9
2010,Deutschland,6.5
2011,Deutschland,6.1
2012,Deutschland,6.0
2013,Deutschland,5.7
2014,Deutschland,5.8
2015,Deutschland,5.9
2016,Deutschland,6.1
2017,Deutschland,6.5
