Year,Raum,Value
2006,Deutschland - unbereinigt,23
2007,Deutschland - unbereinigt,23
2008,Deutschland - unbereinigt,23
2009,Deutschland - unbereinigt,23
2010,Deutschland - unbereinigt,22
2011,Deutschland - unbereinigt,22
2012,Deutschland - unbereinigt,23
2013,Deutschland - unbereinigt,22
2014,Deutschland - unbereinigt,22
2015,Deutschland - unbereinigt,22
2016,Deutschland - unbereinigt,21
2017,Deutschland - unbereinigt,20
2018,Deutschland - unbereinigt,20
2019,Deutschland - unbereinigt,19
2020,Deutschland - unbereinigt,18
2021,Deutschland - unbereinigt,18
2022,Deutschland - unbereinigt,18
2023,Deutschland - unbereinigt,18
2024,Deutschland - unbereinigt,16
2006,Deutschland - bereinigt,8
2010,Deutschland - bereinigt,7
2014,Deutschland - bereinigt,6
2018,Deutschland - bereinigt,6
2022,Deutschland - bereinigt,7
2023,Deutschland - bereinigt,6
2024,Deutschland - bereinigt,6
