Year,Beratungsstelle,Value
2005,Beratungsstelle 1 (Kiel) ,37700
2006,Beratungsstelle 1 (Kiel) ,37700
2007,Beratungsstelle 1 (Kiel) ,37700
2008,Beratungsstelle 1 (Kiel) ,37700
2009,Beratungsstelle 1 (Kiel) ,37700
2010,Beratungsstelle 1 (Kiel) ,37700
2011,Beratungsstelle 1 (Kiel) ,31850
2012,Beratungsstelle 1 (Kiel) ,26390
2013,Beratungsstelle 1 (Kiel) ,32100
2014,Beratungsstelle 1 (Kiel) ,32100
2015,Beratungsstelle 1 (Kiel) ,32100
2016,Beratungsstelle 1 (Kiel) ,32100
2017,Beratungsstelle 1 (Kiel) ,33000
2018,Beratungsstelle 1 (Kiel) ,98000
2019,Beratungsstelle 1 (Kiel) ,146000
2020,Beratungsstelle 1 (Kiel) ,179000
2021,Beratungsstelle 1 (Kiel) ,184000
2022,Beratungsstelle 1 (Kiel) ,184000
2023,Beratungsstelle 1 (Kiel) ,204000
2024,Beratungsstelle 1 (Kiel) ,204000
2025,Beratungsstelle 1 (Kiel) ,244000
2005,Beratungsstelle 2 (Lübeck),48000
2006,Beratungsstelle 2 (Lübeck),48000
2007,Beratungsstelle 2 (Lübeck),42500
2008,Beratungsstelle 2 (Lübeck),42500
2009,Beratungsstelle 2 (Lübeck),42500
2010,Beratungsstelle 2 (Lübeck),42500
2011,Beratungsstelle 2 (Lübeck),25000
2012,Beratungsstelle 2 (Lübeck),25000
2013,Beratungsstelle 2 (Lübeck),35000
2014,Beratungsstelle 2 (Lübeck),35000
2015,Beratungsstelle 2 (Lübeck),35000
2016,Beratungsstelle 2 (Lübeck),35000
2017,Beratungsstelle 2 (Lübeck),36000
2018,Beratungsstelle 2 (Lübeck),36000
2019,Beratungsstelle 2 (Lübeck),36000
2020,Beratungsstelle 2 (Lübeck),56000
2021,Beratungsstelle 2 (Lübeck),56000
2022,Beratungsstelle 2 (Lübeck),180000
2023,Beratungsstelle 2 (Lübeck),190000
2024,Beratungsstelle 2 (Lübeck),190000
2025,Beratungsstelle 2 (Lübeck),190000
2005,Gesamtförderung,85700
2006,Gesamtförderung,85700
2007,Gesamtförderung,80200
2008,Gesamtförderung,80200
2009,Gesamtförderung,80200
2010,Gesamtförderung,80200
2011,Gesamtförderung,56850
2012,Gesamtförderung,51390
2013,Gesamtförderung,67100
2014,Gesamtförderung,67100
2015,Gesamtförderung,67100
2016,Gesamtförderung,67100
2017,Gesamtförderung,69000
2018,Gesamtförderung,134000
2019,Gesamtförderung,182000
2020,Gesamtförderung,235000
2021,Gesamtförderung,236000
2022,Gesamtförderung,364000
2023,Gesamtförderung,394000
2024,Gesamtförderung,394000
2025,Gesamtförderung,434000
