Year,Anteil EE am Brutto-EEV,Value
2006,Anteil EE am Brutto-EEV,10.3
2007,Anteil EE am Brutto-EEV,13.5
2008,Anteil EE am Brutto-EEV,13.9
2009,Anteil EE am Brutto-EEV,14.5
2010,Anteil EE am Brutto-EEV,15.7
2011,Anteil EE am Brutto-EEV,18.2
2012,Anteil EE am Brutto-EEV,20.6
2013,Anteil EE am Brutto-EEV,20.5
2014,Anteil EE am Brutto-EEV,22.9
2015,Anteil EE am Brutto-EEV,25.4
2016,Anteil EE am Brutto-EEV,24.8
2017,Anteil EE am Brutto-EEV,27.6
2018,Anteil EE am Brutto-EEV,28.1
2019,Anteil EE am Brutto-EEV,30.9
2020,Anteil EE am Brutto-EEV,32.5
2021,Anteil EE am Brutto-EEV,31.0
2022,Anteil EE am Brutto-EEV,35.2
2023,Anteil EE am Brutto-EEV,38.7
