Year,Erwerbstätigenquote,Value
2010,SH -  Anteil Alter 60-64 Jahre insgesamt,44.4
2011,SH -  Anteil Alter 60-64 Jahre insgesamt,46.1
2012,SH -  Anteil Alter 60-64 Jahre insgesamt,48.9
2013,SH -  Anteil Alter 60-64 Jahre insgesamt,52.6
2014,SH -  Anteil Alter 60-64 Jahre insgesamt,56.5
2015,SH -  Anteil Alter 60-64 Jahre insgesamt,56.5
2016,SH -  Anteil Alter 60-64 Jahre insgesamt,55.5
2017,SH -  Anteil Alter 60-64 Jahre insgesamt,57.9
2018,SH -  Anteil Alter 60-64 Jahre insgesamt,59.7
2019,SH -  Anteil Alter 60-64 Jahre insgesamt,62.30365176
2020,SH -  Anteil Alter 60-64 Jahre insgesamt,62.773
2021,SH -  Anteil Alter 60-64 Jahre insgesamt,63.1
2022,SH -  Anteil Alter 60-64 Jahre insgesamt,63.5
2023,SH -  Anteil Alter 60-64 Jahre insgesamt,64.5
2024,SH -  Anteil Alter 60-64 Jahre insgesamt,67.4
2010,Bund - Anteil Alter 60-64 Jahre insgesamt,41.0
2011,Bund - Anteil Alter 60-64 Jahre insgesamt,44.3
2012,Bund - Anteil Alter 60-64 Jahre insgesamt,46.6
2013,Bund - Anteil Alter 60-64 Jahre insgesamt,50.0
2014,Bund - Anteil Alter 60-64 Jahre insgesamt,52.6
2015,Bund - Anteil Alter 60-64 Jahre insgesamt,53.3
2016,Bund - Anteil Alter 60-64 Jahre insgesamt,56.0
2017,Bund - Anteil Alter 60-64 Jahre insgesamt,58.4
2018,Bund - Anteil Alter 60-64 Jahre insgesamt,60.4
2019,Bund - Anteil Alter 60-64 Jahre insgesamt,61.75790841
2020,Bund - Anteil Alter 60-64 Jahre insgesamt,60.684
2021,Bund - Anteil Alter 60-64 Jahre insgesamt,61.3
2022,Bund - Anteil Alter 60-64 Jahre insgesamt,63.2
2023,Bund - Anteil Alter 60-64 Jahre insgesamt,65.4
2024,Bund - Anteil Alter 60-64 Jahre insgesamt,66.6
2010,SH - Anteil Alter 60-64 Jahre m,52.5
2011,SH - Anteil Alter 60-64 Jahre m,56.4
2012,SH - Anteil Alter 60-64 Jahre m,56.8
2013,SH - Anteil Alter 60-64 Jahre m,60.8
2014,SH - Anteil Alter 60-64 Jahre m,62.4
2015,SH - Anteil Alter 60-64 Jahre m,64.2
2016,SH - Anteil Alter 60-64 Jahre m,61.4
2017,SH - Anteil Alter 60-64 Jahre m,63.4
2018,SH - Anteil Alter 60-64 Jahre m,67.2
2019,SH - Anteil Alter 60-64 Jahre m,69.10802336
2020,SH - Anteil Alter 60-64 Jahre m,66.344
2021,SH - Anteil Alter 60-64 Jahre m,70.2
2022,SH - Anteil Alter 60-64 Jahre m,69.9
2023,SH - Anteil Alter 60-64 Jahre m,68.8
2024,SH - Anteil Alter 60-64 Jahre m,69.9
2010,Bund - Anteil Alter 60-64 Jahre m,49.2
2011,Bund - Anteil Alter 60-64 Jahre m,52.4
2012,Bund - Anteil Alter 60-64 Jahre m,54.9
2013,Bund - Anteil Alter 60-64 Jahre m,57.7
2014,Bund - Anteil Alter 60-64 Jahre m,59.4
2015,Bund - Anteil Alter 60-64 Jahre m,59.1
2016,Bund - Anteil Alter 60-64 Jahre m,61.5
2017,Bund - Anteil Alter 60-64 Jahre m,63.7
2018,Bund - Anteil Alter 60-64 Jahre m,65.5
2019,Bund - Anteil Alter 60-64 Jahre m,66.6251923
2020,Bund - Anteil Alter 60-64 Jahre m,64.811
2021,Bund - Anteil Alter 60-64 Jahre m,65.7
2022,Bund - Anteil Alter 60-64 Jahre m,67.3
2023,Bund - Anteil Alter 60-64 Jahre m,69.3
2024,Bund - Anteil Alter 60-64 Jahre m,70.4
2010,SH - Anteil Alter 60-64 Jahre w,36.7
2011,SH - Anteil Alter 60-64 Jahre w,36.2
2012,SH - Anteil Alter 60-64 Jahre w,41.0
2013,SH - Anteil Alter 60-64 Jahre w,44.4
2014,SH - Anteil Alter 60-64 Jahre w,50.5
2015,SH - Anteil Alter 60-64 Jahre w,49.5
2016,SH - Anteil Alter 60-64 Jahre w,50.0
2017,SH - Anteil Alter 60-64 Jahre w,53.2
2018,SH - Anteil Alter 60-64 Jahre w,53.2
2019,SH - Anteil Alter 60-64 Jahre w,56.27794661
2020,SH - Anteil Alter 60-64 Jahre w,59.346
2021,SH - Anteil Alter 60-64 Jahre w,56.1
2022,SH - Anteil Alter 60-64 Jahre w,58.0
2023,SH - Anteil Alter 60-64 Jahre w,60.5
2024,SH - Anteil Alter 60-64 Jahre w,65.2
2010,Bund - Anteil Alter 60-64 Jahre w,33.0
2011,Bund - Anteil Alter 60-64 Jahre w,36.5
2012,Bund - Anteil Alter 60-64 Jahre w,38.8
2013,Bund - Anteil Alter 60-64 Jahre w,42.8
2014,Bund - Anteil Alter 60-64 Jahre w,46.2
2015,Bund - Anteil Alter 60-64 Jahre w,47.9
2016,Bund - Anteil Alter 60-64 Jahre w,50.8
2017,Bund - Anteil Alter 60-64 Jahre w,53.3
2018,Bund - Anteil Alter 60-64 Jahre w,55.6
2019,Bund - Anteil Alter 60-64 Jahre w,57.07282364
2020,Bund - Anteil Alter 60-64 Jahre w,56.643
2021,Bund - Anteil Alter 60-64 Jahre w,57.2
2022,Bund - Anteil Alter 60-64 Jahre w,59.3
2023,Bund - Anteil Alter 60-64 Jahre w,61.5
2024,Bund - Anteil Alter 60-64 Jahre w,62.8
2010,SH - Anteil Alter 20-64 Jahre insgesamt,75.51359935
2011,SH - Anteil Alter 20-64 Jahre insgesamt,76.66820587
2012,SH - Anteil Alter 20-64 Jahre insgesamt,77.84532239
2013,SH - Anteil Alter 20-64 Jahre insgesamt,77.83762936
2014,SH - Anteil Alter 20-64 Jahre insgesamt,78.34478776
2015,SH - Anteil Alter 20-64 Jahre insgesamt,79.04244951
2016,SH - Anteil Alter 20-64 Jahre insgesamt,78.48918345
2017,SH - Anteil Alter 20-64 Jahre insgesamt,79.27468868
2018,SH - Anteil Alter 20-64 Jahre insgesamt,80.09205041
2019,SH - Anteil Alter 20-64 Jahre insgesamt,81.57714145
2020,SH - Anteil Alter 20-64 Jahre insgesamt,80.277
2021,SH - Anteil Alter 20-64 Jahre insgesamt,80.7
2022,SH - Anteil Alter 20-64 Jahre insgesamt,81.0
2023,SH - Anteil Alter 20-64 Jahre insgesamt,80.6
2024,SH - Anteil Alter 20-64 Jahre insgesamt,80.5
2010,Bund - Anteil Alter 20-64 Jahre insgesamt,74.92523278
2011,Bund - Anteil Alter 20-64 Jahre insgesamt,76.47261789
2012,Bund - Anteil Alter 20-64 Jahre insgesamt,76.86156357
2013,Bund - Anteil Alter 20-64 Jahre insgesamt,77.30844409
2014,Bund - Anteil Alter 20-64 Jahre insgesamt,77.7027386
2015,Bund - Anteil Alter 20-64 Jahre insgesamt,77.96296783
2016,Bund - Anteil Alter 20-64 Jahre insgesamt,78.61635459
2017,Bund - Anteil Alter 20-64 Jahre insgesamt,79.20798234
2018,Bund - Anteil Alter 20-64 Jahre insgesamt,79.92183595
2019,Bund - Anteil Alter 20-64 Jahre insgesamt,80.64347124
2020,Bund - Anteil Alter 20-64 Jahre insgesamt,79.29
2021,Bund - Anteil Alter 20-64 Jahre insgesamt,79.6
2022,Bund - Anteil Alter 20-64 Jahre insgesamt,80.8
2023,Bund - Anteil Alter 20-64 Jahre insgesamt,81.2
2024,Bund - Anteil Alter 20-64 Jahre insgesamt,81.2
2010,SH - Anteil Alter 20-64 Jahre m,80.18487689
2011,SH - Anteil Alter 20-64 Jahre m,81.52877016
2012,SH - Anteil Alter 20-64 Jahre m,82.59022942
2013,SH - Anteil Alter 20-64 Jahre m,83.04781472
2014,SH - Anteil Alter 20-64 Jahre m,82.98009152
2015,SH - Anteil Alter 20-64 Jahre m,83.78784825
2016,SH - Anteil Alter 20-64 Jahre m,82.37603979
2017,SH - Anteil Alter 20-64 Jahre m,82.62267232
2018,SH - Anteil Alter 20-64 Jahre m,83.84897137
2019,SH - Anteil Alter 20-64 Jahre m,85.97755143
2020,SH - Anteil Alter 20-64 Jahre m,84.19
2021,SH - Anteil Alter 20-64 Jahre m,84.3
