Year,Gruppe,Value
2005,,11.6
2006,,10.0
2007,,8.4
2008,,7.6
2009,,7.8
2010,,7.5
2011,,7.2
2012,,6.9
2013,,6.9
2014,,6.8
2015,,6.5
2016,,6.3
2017,,6.0
2018,,5.5
2005,Männer,11.9
2006,Männer,9.9
2007,Männer,8.1
2008,Männer,7.5
2009,Männer,8.2
2010,Männer,7.9
2011,Männer,7.5
2012,Männer,7.2
2013,Männer,7.2
2014,Männer,7.1
2015,Männer,6.9
2016,Männer,6.7
2017,Männer,6.5
2018,Männer,5.8
2005,Frauen,11.2
2006,Frauen,9.9
2007,Frauen,8.7
2008,Frauen,7.7
2009,Frauen,7.4
2010,Frauen,7.1
2011,Frauen,6.9
2012,Frauen,6.6
2013,Frauen,6.6
2014,Frauen,6.4
2015,Frauen,6.0
2016,Frauen,5.8
2017,Frauen,5.5
2018,Frauen,5.1
2005,Ausländer,
2006,Ausländer,
2007,Ausländer,
2008,Ausländer,19.9
2009,Ausländer,19.8
2010,Ausländer,18.9
2011,Ausländer,18.4
2012,Ausländer,17.7
2013,Ausländer,17.5
2014,Ausländer,17.5
2015,Ausländer,18.7
2016,Ausländer,20.0
2017,Ausländer,21.5
2018,Ausländer,17.9
2005,Langzeitarbeitslose,
2006,Langzeitarbeitslose,
2007,Langzeitarbeitslose,
2008,Langzeitarbeitslose,2.8
2009,Langzeitarbeitslose,2.5
2010,Langzeitarbeitslose,2.4
2011,Langzeitarbeitslose,2.3
2012,Langzeitarbeitslose,2.3
2013,Langzeitarbeitslose,2.4
2014,Langzeitarbeitslose,2.5
2015,Langzeitarbeitslose,2.4
2016,Langzeitarbeitslose,2.3
2017,Langzeitarbeitslose,2.1
2018,Langzeitarbeitslose,1.9
