Year,SGB-II-Leistungsberechtigte,Value
2005,SGB-II-Leistungsberechtigte,10.4
2006,SGB-II-Leistungsberechtigte,11.5
2007,SGB-II-Leistungsberechtigte,11.3
2008,SGB-II-Leistungsberechtigte,10.9
2009,SGB-II-Leistungsberechtigte,10.6
2010,SGB-II-Leistungsberechtigte,10.6
2011,SGB-II-Leistungsberechtigte,10.3
2012,SGB-II-Leistungsberechtigte,10.1
2013,SGB-II-Leistungsberechtigte,10.1
2014,SGB-II-Leistungsberechtigte,10.0
2015,SGB-II-Leistungsberechtigte,10.0
2016,SGB-II-Leistungsberechtigte,10.0
2017,SGB-II-Leistungsberechtigte,10.4
