Year,Arbeitgeber,Value
2013,Quote private Arbeitgeber,38.3
2014,Quote private Arbeitgeber,37.6
2015,Quote private Arbeitgeber,38.5
2016,Quote private Arbeitgeber,38.6
2017,Quote private Arbeitgeber,38.9
2018,Quote private Arbeitgeber,38.8
2019,Quote private Arbeitgeber,39.4
2020,Quote private Arbeitgeber,40.1
2021,Quote private Arbeitgeber,39.6
2022,Quote private Arbeitgeber,39.4
2023,Quote private Arbeitgeber,39.0
2024,Quote private Arbeitgeber,39.7
2013,Quote öffentliche Arbeitgeber,61.9
2014,Quote öffentliche Arbeitgeber,60.3
2015,Quote öffentliche Arbeitgeber,61.7
2016,Quote öffentliche Arbeitgeber,62.8
2017,Quote öffentliche Arbeitgeber,63.6
2018,Quote öffentliche Arbeitgeber,63.1
2019,Quote öffentliche Arbeitgeber,64.9
2020,Quote öffentliche Arbeitgeber,62.9
2021,Quote öffentliche Arbeitgeber,66.1
2022,Quote öffentliche Arbeitgeber,64.5
2023,Quote öffentliche Arbeitgeber,63.8
2024,Quote öffentliche Arbeitgeber,64.8
2013,Quote gesamt,40.4
2014,Quote gesamt,39.6
2015,Quote gesamt,40.5
2016,Quote gesamt,40.5
2017,Quote gesamt,40.9
2018,Quote gesamt,40.7
2019,Quote gesamt,41.3
2020,Quote gesamt,41.8
2021,Quote gesamt,41.5
2022,Quote gesamt,41.3
2023,Quote gesamt,40.8
2024,Quote gesamt,41.5
