Year,Verkehrsmittel,Value
2005,zu Fuß,23.9
2007,zu Fuß,23.2
2008,zu Fuß,24.6
2009,zu Fuß,26.2
2010,zu Fuß,24.8
2011,zu Fuß,25.2
2012,zu Fuß,25.9
2013,zu Fuß,26.6
2014,zu Fuß,25.6
2015,zu Fuß,21.9
2016,zu Fuß,21.5
2017,zu Fuß,16.1
2018,zu Fuß,20.5
2019,zu Fuß,22.1
2020,zu Fuß,30.9
2021,zu Fuß,24.6
2022,zu Fuß,23.0
2023,zu Fuß,20.3
2005,Fahrrad,9.9
2007,Fahrrad,10.1
2008,Fahrrad,7.4
2009,Fahrrad,6.4
2010,Fahrrad,7.0
2011,Fahrrad,6.4
2012,Fahrrad,8.9
2013,Fahrrad,10.7
2014,Fahrrad,12.2
2015,Fahrrad,12.8
2016,Fahrrad,12.8
2017,Fahrrad,12.7
2018,Fahrrad,13.8
2019,Fahrrad,13.2
2020,Fahrrad,14.8
2021,Fahrrad,16.5
2022,Fahrrad,15.6
2023,Fahrrad,13.7
2005,ÖV,5.5
2007,ÖV,6.0
2008,ÖV,6.4
2009,ÖV,6.6
2010,ÖV,7.0
2011,ÖV,7.2
2012,ÖV,7.2
2013,ÖV,7.2
2014,ÖV,7.1
2015,ÖV,7.1
2016,ÖV,7.6
2017,ÖV,7.2
2018,ÖV,6.9
2019,ÖV,7.6
2020,ÖV,4.2
2021,ÖV,5.5
2022,ÖV,8.6
2023,ÖV,8.5
2005,MIV Mitfahrer:in/ Taxi,13.9
2007,MIV Mitfahrer:in/ Taxi,14.0
2008,MIV Mitfahrer:in/ Taxi,17.5
2009,MIV Mitfahrer:in/ Taxi,16.6
2010,MIV Mitfahrer:in/ Taxi,15.7
2011,MIV Mitfahrer:in/ Taxi,17.2
2012,MIV Mitfahrer:in/ Taxi,16.2
2013,MIV Mitfahrer:in/ Taxi,15.0
2014,MIV Mitfahrer:in/ Taxi,14.5
2015,MIV Mitfahrer:in/ Taxi,14.1
2016,MIV Mitfahrer:in/ Taxi,13.2
2017,MIV Mitfahrer:in/ Taxi,6.9
2018,MIV Mitfahrer:in/ Taxi,14.1
2019,MIV Mitfahrer:in/ Taxi,13.4
2020,MIV Mitfahrer:in/ Taxi,11.9
2021,MIV Mitfahrer:in/ Taxi,10.5
2022,MIV Mitfahrer:in/ Taxi,8.4
2023,MIV Mitfahrer:in/ Taxi,10.2
2005,MIV Fahrer:in,46.8
2007,MIV Fahrer:in,46.7
2008,MIV Fahrer:in,44.1
2009,MIV Fahrer:in,44.2
2010,MIV Fahrer:in,45.6
2011,MIV Fahrer:in,43.9
2012,MIV Fahrer:in,41.9
2013,MIV Fahrer:in,40.5
2014,MIV Fahrer:in,40.7
2015,MIV Fahrer:in,44.2
2016,MIV Fahrer:in,45.0
2017,MIV Fahrer:in,57.0
2018,MIV Fahrer:in,44.7
2019,MIV Fahrer:in,43.7
2020,MIV Fahrer:in,38.2
2021,MIV Fahrer:in,42.8
2022,MIV Fahrer:in,44.4
2023,MIV Fahrer:in,47.3
