Year,Vögel mit > 0,1 g Plastik,Value
2003,Vögel mit > 0,1 g Plastik,75.8
2004,Vögel mit > 0,1 g Plastik,54.2
2005,Vögel mit > 0,1 g Plastik,51.4
2006,Vögel mit > 0,1 g Plastik,72.7
2007,Vögel mit > 0,1 g Plastik,73.5
2008,Vögel mit > 0,1 g Plastik,64.7
2009,Vögel mit > 0,1 g Plastik,50.0
2010,Vögel mit > 0,1 g Plastik,54.5
2011,Vögel mit > 0,1 g Plastik,63.4
2012,Vögel mit > 0,1 g Plastik,55.9
2013,Vögel mit > 0,1 g Plastik,70.8
2014,Vögel mit > 0,1 g Plastik,66.7
2015,Vögel mit > 0,1 g Plastik,54.5
2016,Vögel mit > 0,1 g Plastik,66.7
2017,Vögel mit > 0,1 g Plastik,45.2
2018,Vögel mit > 0,1 g Plastik,53.8
2019,Vögel mit > 0,1 g Plastik,42.3
2020,Vögel mit > 0,1 g Plastik,50.0
2021,Vögel mit > 0,1 g Plastik,58.8
2022,Vögel mit > 0,1 g Plastik,42.3
2023,Vögel mit > 0,1 g Plastik,57.1
