Year,Raum,Value
2005,Schleswig-Holstein,13.9
2006,Schleswig-Holstein,13.97
2007,Schleswig-Holstein,13.83
2008,Schleswig-Holstein,9.87
2009,Schleswig-Holstein,10.68
2010,Schleswig-Holstein,
2011,Schleswig-Holstein,
2012,Schleswig-Holstein,
2013,Schleswig-Holstein,7.9
2014,Schleswig-Holstein,6.06
2015,Schleswig-Holstein,8.15
2016,Schleswig-Holstein,7.81
2005,Deutschland,9.56
2006,Deutschland,9.65
2007,Deutschland,10.2
2008,Deutschland,9.38
2009,Deutschland,9.08
2010,Deutschland,9.18
2011,Deutschland,7.72
2012,Deutschland,7.44
2013,Deutschland,8.25
2014,Deutschland,6.91
2015,Deutschland,6.82
2016,Deutschland,7.54
