Year,Impfung,Value
2012,Eine Impfung (Alter 15 Monate),91.2
2013,Eine Impfung (Alter 15 Monate),92.3
2014,Eine Impfung (Alter 15 Monate),92.5
2015,Eine Impfung (Alter 15 Monate),93.1
2016,Eine Impfung (Alter 15 Monate),93.0
2017,Eine Impfung (Alter 15 Monate),93.5
2018,Eine Impfung (Alter 15 Monate),95.2
2019,Eine Impfung (Alter 15 Monate),96.2
2020,Eine Impfung (Alter 15 Monate),96.0
2021,Eine Impfung (Alter 15 Monate),96.3
2022,Eine Impfung (Alter 15 Monate),
2023,Eine Impfung (Alter 15 Monate),
2012,Zwei Impfungen (Alter 24 Monate),73.3
2013,Zwei Impfungen (Alter 24 Monate),75.4
2014,Zwei Impfungen (Alter 24 Monate),75.9
2015,Zwei Impfungen (Alter 24 Monate),76.9
2016,Zwei Impfungen (Alter 24 Monate),76.2
2017,Zwei Impfungen (Alter 24 Monate),77.9
2018,Zwei Impfungen (Alter 24 Monate),81.7
2019,Zwei Impfungen (Alter 24 Monate),85.4
2020,Zwei Impfungen (Alter 24 Monate),83.9
2021,Zwei Impfungen (Alter 24 Monate),83.6
2022,Zwei Impfungen (Alter 24 Monate),
2023,Zwei Impfungen (Alter 24 Monate),
