Year,Region,Value
2005,Schleswig-Holstein,15.1
2006,Schleswig-Holstein,17.1
2007,Schleswig-Holstein,
2008,Schleswig-Holstein,13.6
2009,Schleswig-Holstein,12.1
2010,Schleswig-Holstein,12.6
2011,Schleswig-Holstein,12.9
2012,Schleswig-Holstein,12.3
2013,Schleswig-Holstein,
2014,Schleswig-Holstein,12.8
2015,Schleswig-Holstein,10.6
2016,Schleswig-Holstein,10.7
2017,Schleswig-Holstein,9.1
2018,Schleswig-Holstein,10.1
2019,Schleswig-Holstein,11.0
2020,Schleswig-Holstein,11.7
2021,Schleswig-Holstein,13.8
2022,Schleswig-Holstein,15.2
2023,Schleswig-Holstein,17.0
2005,Deutschland,13.8
2006,Deutschland,14.1
2007,Deutschland,
2008,Deutschland,11.8
2009,Deutschland,11.1
2010,Deutschland,11.9
2011,Deutschland,11.6
2012,Deutschland,10.4
2013,Deutschland,
2014,Deutschland,9.5
2015,Deutschland,9.8
2016,Deutschland,10.3
2017,Deutschland,10.1
2018,Deutschland,11.4
2019,Deutschland,11.7
2020,Deutschland,10.5
2021,Deutschland,13.0
2022,Deutschland,13.4
2023,Deutschland,14.0
2005,EU-27 (28),15.6
2006,EU-27 (28),15.2
2007,EU-27 (28),
2008,EU-27 (28),14.9
2009,EU-27 (28),14.4
2010,EU-27 (28),14.1
2011,EU-27 (28),13.5
2012,EU-27 (28),13.5
2013,EU-27 (28),
2014,EU-27 (28),11.1
2015,EU-27 (28),11.0
2016,EU-27 (28),10.7
2017,EU-27 (28),10.6
2018,EU-27 (28),10.5
2019,EU-27 (28),10.1
2020,EU-27 (28),10.0
2021,EU-27 (28),9.8
2022,EU-27 (28),9.6
2023,EU-27 (28),9.5
