Year,Nitratgehalt,Value
2005,Anteil von Messstellen mit höchstens 50 mg/l,65
2006,Anteil von Messstellen mit höchstens 50 mg/l,63
2007,Anteil von Messstellen mit höchstens 50 mg/l,67
2008,Anteil von Messstellen mit höchstens 50 mg/l,66
2009,Anteil von Messstellen mit höchstens 50 mg/l,64
2010,Anteil von Messstellen mit höchstens 50 mg/l,64
2011,Anteil von Messstellen mit höchstens 50 mg/l,70
2012,Anteil von Messstellen mit höchstens 50 mg/l,66
2013,Anteil von Messstellen mit höchstens 50 mg/l,66
2014,Anteil von Messstellen mit höchstens 50 mg/l,66
2015,Anteil von Messstellen mit höchstens 50 mg/l,70
2016,Anteil von Messstellen mit höchstens 50 mg/l,72
2017,Anteil von Messstellen mit höchstens 50 mg/l,67
2018,Anteil von Messstellen mit höchstens 50 mg/l,70
2019,Anteil von Messstellen mit höchstens 50 mg/l,75
2020,Anteil von Messstellen mit höchstens 50 mg/l,70
2021,Anteil von Messstellen mit höchstens 50 mg/l,79
2022,Anteil von Messstellen mit höchstens 50 mg/l,72
2023,Anteil von Messstellen mit höchstens 50 mg/l,77
2024,Anteil von Messstellen mit höchstens 50 mg/l,77
