Year,Produktivitätsindex,Value
1991,EEV-Produktivität,100.0
1992,EEV-Produktivität,101.1560546
1993,EEV-Produktivität,98.28231896
1994,EEV-Produktivität,101.5398938
1995,EEV-Produktivität,103.279084
1996,EEV-Produktivität,99.4841208
1997,EEV-Produktivität,104.9519197
1998,EEV-Produktivität,107.5032986
1999,EEV-Produktivität,110.7039172
2000,EEV-Produktivität,115.4738095
2001,EEV-Produktivität,115.0676688
2002,EEV-Produktivität,119.5900874
2003,EEV-Produktivität,116.6435675
2004,EEV-Produktivität,120.939689
2005,EEV-Produktivität,126.5549442
2006,EEV-Produktivität,128.7319491
2007,EEV-Produktivität,140.184889
2008,EEV-Produktivität,138.4341587
2009,EEV-Produktivität,137.8649875
2010,EEV-Produktivität,131.2454162
2011,EEV-Produktivität,141.6800473
2012,EEV-Produktivität,138.652033
2013,EEV-Produktivität,132.5955685
2014,EEV-Produktivität,143.5502939
2015,EEV-Produktivität,142.3489134
2016,EEV-Produktivität,145.3031681
2017,EEV-Produktivität,148.2968369
2018,EEV-Produktivität,149.210875
2019,EEV-Produktivität,158.5326461
2020,EEV-Produktivität,155.8954496
2021,EEV-Produktivität,151.1666956
2022,EEV-Produktivität,159.550088
1991,THG-Produktivität,100.0
1992,THG-Produktivität,100.3351101
1993,THG-Produktivität,96.46437533
1994,THG-Produktivität,98.88562225
1995,THG-Produktivität,103.9466389
1996,THG-Produktivität,104.1914337
1997,THG-Produktivität,108.3373649
1998,THG-Produktivität,110.0095805
1999,THG-Produktivität,113.2692901
2000,THG-Produktivität,118.2269728
2001,THG-Produktivität,113.9533127
2002,THG-Produktivität,118.8393616
2003,THG-Produktivität,118.2875303
2004,THG-Produktivität,126.2731253
2005,THG-Produktivität,130.399519
2006,THG-Produktivität,134.0774261
2007,THG-Produktivität,147.8753282
2008,THG-Produktivität,142.0362712
2009,THG-Produktivität,141.3164834
2010,THG-Produktivität,139.3744844
2011,THG-Produktivität,152.1666784
2012,THG-Produktivität,147.99532
2013,THG-Produktivität,145.3879067
2014,THG-Produktivität,154.6357579
2015,THG-Produktivität,157.8934467
2016,THG-Produktivität,162.3932771
2017,THG-Produktivität,166.9126443
2018,THG-Produktivität,170.0472353
2019,THG-Produktivität,185.2937305
2020,THG-Produktivität,186.1464972
2021,THG-Produktivität,186.4360043
2022,THG-Produktivität,194.3876999
2023,THG-Produktivität,203.3764195
