Year,Series,Arbeitslosenquoten,Anteil der Arbeitslosen,Value
2008,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,7.6
2009,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,7.8
2010,Arbeitslosenquoten,Arbeitslosenquote insgesamt,,7.5
2008,Arbeitslosenquoten,Männer,,7.5
2009,Arbeitslosenquoten,Männer,,8.2
2010,Arbeitslosenquoten,Männer,,7.9
2008,Arbeitslosenquoten,Frauen,,7.7
2009,Arbeitslosenquoten,Frauen,,7.4
2010,Arbeitslosenquoten,Frauen,,7.1
2008,Arbeitslosenquoten,Ausländer,,19.9
2009,Arbeitslosenquoten,Ausländer,,19.8
2010,Arbeitslosenquoten,Ausländer,,18.9
2008,Arbeitslosenquoten,Langzeitarbeitslose,,2.8
2009,Arbeitslosenquoten,Langzeitarbeitslose,,2.5
2010,Arbeitslosenquoten,Langzeitarbeitslose,,2.4
2008,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,37.4
2009,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,32.3
2010,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,32.3
2008,Anteil der Arbeitslosen,,Anteil Alleinerziehende,11.1
2009,Anteil der Arbeitslosen,,Anteil Alleinerziehende,10.0
2010,Anteil der Arbeitslosen,,Anteil Alleinerziehende,9.8
2008,Anteil der Arbeitslosen,,Anteil Menschen ohne abgeschlossene Berufsausbildung,
2009,Anteil der Arbeitslosen,,Anteil Menschen ohne abgeschlossene Berufsausbildung,45.6
2010,Anteil der Arbeitslosen,,Anteil Menschen ohne abgeschlossene Berufsausbildung,42.8
