Year,Bedarfskategorie,Value
2014,Investitionsbedarf,4.85
2017,Investitionsbedarf,6.35
2019,Investitionsbedarf,7.84
2021,Investitionsbedarf,10.62
2023,Investitionsbedarf,20.25
2025,Investitionsbedarf,20.25
2027,Investitionsbedarf,20.25
2029,Investitionsbedarf,20.25
2014,abgebauter Bedarf,0.0
2017,abgebauter Bedarf,0.8
2019,abgebauter Bedarf,2.11
2021,abgebauter Bedarf,3.16
2023,abgebauter Bedarf,4.52
2025,abgebauter Bedarf,
2027,abgebauter Bedarf,
2029,abgebauter Bedarf,
2014,zukünftiger Abbau,
2017,zukünftiger Abbau,
2019,zukünftiger Abbau,
2021,zukünftiger Abbau,
2023,zukünftiger Abbau,4.52
2025,zukünftiger Abbau,5.99
2027,zukünftiger Abbau,7.47
2029,zukünftiger Abbau,8.94
