Year,Value,Units,Series
2006,18.0,Prozent,unbereinigter Gender Pay Gap 
2007,18.0,Prozent,unbereinigter Gender Pay Gap 
2008,19.0,Prozent,unbereinigter Gender Pay Gap 
2009,18.0,Prozent,unbereinigter Gender Pay Gap 
2010,18.0,Prozent,unbereinigter Gender Pay Gap 
2011,17.0,Prozent,unbereinigter Gender Pay Gap 
2012,18.0,Prozent,unbereinigter Gender Pay Gap 
2013,18.0,Prozent,unbereinigter Gender Pay Gap 
2014,17.0,Prozent,unbereinigter Gender Pay Gap 
2015,16.0,Prozent,unbereinigter Gender Pay Gap 
2016,16.0,Prozent,unbereinigter Gender Pay Gap 
2017,14.0,Prozent,unbereinigter Gender Pay Gap 
2018,14.0,Prozent,unbereinigter Gender Pay Gap 
2019,13.0,Prozent,unbereinigter Gender Pay Gap 
2020,13.0,Prozent,unbereinigter Gender Pay Gap 
2021,12.0,Prozent,unbereinigter Gender Pay Gap 
2022,12.0,Prozent,unbereinigter Gender Pay Gap 
2023,12.0,Prozent,unbereinigter Gender Pay Gap 
2024,11.0,Prozent,unbereinigter Gender Pay Gap 
