Disaggregation,Number of indicators,Number of values
Altersgruppe,1,6
Anteil der Arbeitslosen,1,3
Anzahl der hoch oder sehr hoch belasteten Menschen in Schleswig-Holstein nach Lärmart,1,2
Anzahl,1,1
Arbeitgeber (AG),1,3
Arbeitslosenquoten,1,5
Art der Hilfe,1,5
Art des Abschlusses,1,10
Aufkommen,2,7
Ausbaustand Mobilfunk LTE,1,1
Ausgaben für Barrierefreiheit,1,2
Ausgaben für Forschung und Entwicklung,1,1
Beratungsstelle,1,3
Bereich,1,23
Deichsicherung,1,1
Einwohnerzahl,1,4
Erwerbstätigenquote,2,18
Fokusleistungen,1,14
Frauenanteil,2,9
Freiraumverlust,1,1
Gebiet,2,4
Gemeinden und Kreise,1,1
Geschlecht,3,17
Impfung,1,2
Jahresmittelwert PM10,1,4
Kontinente,1,9
Kreis/Gemeinde/kreisfreie Stadt,1,15
Leistungsbeziehende,1,1
Materialverbrauch,1,1
Nachhaltigkeitsstandard,1,3
Nitratgehalt,1,1
Online-Dienste in SH,1,1
Patentanmeldungen,1,2
Produktivitätsindex,1,2
Raum,15,28
Raum/Geschlecht,1,4
Region,2,3
Reisezeit,1,1
Rohstoffproduktivität,1,1
Schuldenstand,1,1
Sektor,1,7
SGB-II-Leistungsberechtigte,1,1
Soziodemografische Merkmale,1,14
Stufe,1,3
Verbrauchssektor,1,4
Verkehrsmittel,1,5
Wasserkörper,2,8
Zertifizierte Bildungsakteure,1,1
