Indicator,Reporting status,UN custodian agency,Non-statistical,Show map,Geographical coverage,Units,Graph type
#1-1,complete,,,,,Prozent,line
#1-2-1,complete,,,,,Prozent,line
#1-2-2,complete,,,,,Leistungsempfängerinnen und Leistungsempfänger,line
#1-3,complete,,,,,Prozent,line
#1-4,complete,,,,,Prozent,line
#10-1,complete,,,,,Prozent,bar
#10-2,complete,,,,,Prozent,line
#10-3,complete,,,,,T Euro,bar
#10-4,complete,,,,,Gini-Koeffizient,bar
#10-5,complete,,,,,Prozent,line
#10-6,complete,,,,,Anzahl,bar
#10-7,complete,,,,,Prozent,bar
#11-1,complete,,,,,Minuten,line
#11-2,complete,,,,,Prozent,bar
#12-1,complete,,,,,kg/Einwohner,line
#12-3,complete,,,,,Prozent,line
#13-1,complete,,,,,Mio. t CO2-Äquivalente,bar
#13-2,complete,,,,,Anzahl,bar
#15-1,complete,,True,,,Veränderung (ha/d),bar
#15-2,complete,,,,,m² je Einwohnerin und Einwohner,bar
#15-3,complete,,,,,Prozent,line
#15-6,complete,,,,,Prozent,bar
#16-1,complete,,,,,Häufigkeitszahl,line
#16-2,complete,,,,,Deckungsgrad,bar
#16-3,complete,,,,,Gefangene je 100T Einwohnerinnen und Einwohner,line
#16-5,complete,,,,,Prozent,bar
#2-1,complete,,,,,kg N/ha,line
#3-1,complete,,,,,je 1.000 Lebendgeborene,line
#3-2,complete,,,,,je 100.000 Einwohnerinnen und Einwohner,line
#3-3,complete,,,,,Anzahl,line
#3-4,complete,,,,,Prozent,line
#3-5,complete,,,,,Prozent,line
#3-6,complete,,,,,µg/m³,line
#3-7,complete,,,,,Menschen,line
#4-1,complete,,,,,Prozent,line
#4-2,complete,,,,,Prozent,bar
#4-3,complete,,,,,Zukunftsschulen,bar
#4-4,complete,,,,,Anzahl,bar
#4-5,complete,,,,,Prozent,bar
#4-6,complete,,,,,Prozent,line
#4-7,complete,,,,,Prozent,line
#4-8,complete,,,,,Prozent,bar
#4-9,complete,,,,,Prozent,line
#5-1-1,complete,,,,,Euro,bar
#5-1-2,complete,,,,,Euro,line
#5-2,complete,,,,,€,line
#5-5,complete,,,,,Prozent,bar
#7-1,complete,,,,,Index,line
#7-3,complete,,,,,GWh,bar
#8-2,complete,,,,,€,line
#8-3-1,complete,,,,,Prozent,line
#8-3-2,complete,,,,,Prozent,line
#8-5,complete,,,,,Materialverbrauch je Einwohnerin und Einwohner [t/E],line
#8-6,complete,,,,,BIP/DMIa,bar
#8-8,complete,,,,,Prozent,line
#9-2,complete,,,,,Prozent,line
#9-3,complete,,,,,Prozent,line
#9-4,complete,,,,,Prozent,line
#9-5,complete,,,,,Anzahl,line
