Year,Gruppe,Value
2008,,107326.0
2009,,110373.0
2010,,107176.0
2011,,103714.0
2012,,100051.0
2013,,101751.0
2014,,100957.0
2015,,97850.0
2016,,94977.0
2017,,92434.0
2018,,85053.0
2008,Langzeitarbeitslose,40102.0
2009,Langzeitarbeitslose,35611.0
2010,Langzeitarbeitslose,34636.0
2011,Langzeitarbeitslose,33364.0
2012,Langzeitarbeitslose,33637.0
2013,Langzeitarbeitslose,34993.0
2014,Langzeitarbeitslose,37216.0
2015,Langzeitarbeitslose,36341.0
2016,Langzeitarbeitslose,34935.0
2017,Langzeitarbeitslose,32326.0
2018,Langzeitarbeitslose,29345.0
2008,Arbeitslose ohne Berufsausbildung,
2009,Arbeitslose ohne Berufsausbildung,46380.0
2010,Arbeitslose ohne Berufsausbildung,45881.0
2011,Arbeitslose ohne Berufsausbildung,46037.0
2012,Arbeitslose ohne Berufsausbildung,45093.0
2013,Arbeitslose ohne Berufsausbildung,46381.0
2014,Arbeitslose ohne Berufsausbildung,46987.0
2015,Arbeitslose ohne Berufsausbildung,46826.0
2016,Arbeitslose ohne Berufsausbildung,45630.0
2017,Arbeitslose ohne Berufsausbildung,43049.0
2018,Arbeitslose ohne Berufsausbildung,44245.0
