Year,Units,Series,Geschlecht,Art der Hilfe,Value
2006,Prozent,Geschlecht,Schleswig-Holstein insgesamt,,10.1
2007,Prozent,Geschlecht,Schleswig-Holstein insgesamt,,9.8
2008,Prozent,Geschlecht,Schleswig-Holstein insgesamt,,9.4
2009,Prozent,Geschlecht,Schleswig-Holstein insgesamt,,9.3
2010,Prozent,Geschlecht,Schleswig-Holstein insgesamt,,8.9
2011,Prozent,Geschlecht,Schleswig-Holstein insgesamt,,9.0
2012,Prozent,Geschlecht,Schleswig-Holstein insgesamt,,9.1
2013,Prozent,Geschlecht,Schleswig-Holstein insgesamt,,9.3
2014,Prozent,Geschlecht,Schleswig-Holstein insgesamt,,9.5
2015,Prozent,Geschlecht,Schleswig-Holstein insgesamt,,10.3
2016,Prozent,Geschlecht,Schleswig-Holstein insgesamt,,10.3
2017,Prozent,Geschlecht,Schleswig-Holstein insgesamt,,10.0
2018,Prozent,Geschlecht,Schleswig-Holstein insgesamt,,9.5
2019,Prozent,Geschlecht,Schleswig-Holstein insgesamt,,9.0
2020,Prozent,Geschlecht,Schleswig-Holstein insgesamt,,9.1
2021,Prozent,Geschlecht,Schleswig-Holstein insgesamt,,8.5
2022,Prozent,Geschlecht,Schleswig-Holstein insgesamt,,8.9
2023,Prozent,Geschlecht,Schleswig-Holstein insgesamt,,9.0
2024,Prozent,Geschlecht,Schleswig-Holstein insgesamt,,9.0
2006,Prozent,Geschlecht,Deutschland insgesamt,,9.8
2007,Prozent,Geschlecht,Deutschland insgesamt,,9.5
2008,Prozent,Geschlecht,Deutschland insgesamt,,9.1
2009,Prozent,Geschlecht,Deutschland insgesamt,,9.2
2010,Prozent,Geschlecht,Deutschland insgesamt,,8.8
2011,Prozent,Geschlecht,Deutschland insgesamt,,8.7
2012,Prozent,Geschlecht,Deutschland insgesamt,,8.7
2013,Prozent,Geschlecht,Deutschland insgesamt,,8.9
2014,Prozent,Geschlecht,Deutschland insgesamt,,9.1
2015,Prozent,Geschlecht,Deutschland insgesamt,,9.7
2016,Prozent,Geschlecht,Deutschland insgesamt,,9.5
2017,Prozent,Geschlecht,Deutschland insgesamt,,9.2
2018,Prozent,Geschlecht,Deutschland insgesamt,,8.7
2019,Prozent,Geschlecht,Deutschland insgesamt,,8.3
2020,Prozent,Geschlecht,Deutschland insgesamt,,8.3
2021,Prozent,Geschlecht,Deutschland insgesamt,,8.0
2022,Prozent,Geschlecht,Deutschland insgesamt,,8.7
2023,Prozent,Geschlecht,Deutschland insgesamt,,8.8
2024,Prozent,Geschlecht,Deutschland insgesamt,,8.7
2006,Prozent,Geschlecht,Schleswig-Holstein Männer,,10.3
2007,Prozent,Geschlecht,Schleswig-Holstein Männer,,9.9
2008,Prozent,Geschlecht,Schleswig-Holstein Männer,,9.4
2009,Prozent,Geschlecht,Schleswig-Holstein Männer,,9.4
2010,Prozent,Geschlecht,Schleswig-Holstein Männer,,9.0
2011,Prozent,Geschlecht,Schleswig-Holstein Männer,,9.2
2012,Prozent,Geschlecht,Schleswig-Holstein Männer,,9.2
2013,Prozent,Geschlecht,Schleswig-Holstein Männer,,9.4
2014,Prozent,Geschlecht,Schleswig-Holstein Männer,,9.7
2015,Prozent,Geschlecht,Schleswig-Holstein Männer,,10.9
2016,Prozent,Geschlecht,Schleswig-Holstein Männer,,10.8
2017,Prozent,Geschlecht,Schleswig-Holstein Männer,,10.4
2018,Prozent,Geschlecht,Schleswig-Holstein Männer,,9.9
2019,Prozent,Geschlecht,Schleswig-Holstein Männer,,9.4
2020,Prozent,Geschlecht,Schleswig-Holstein Männer,,9.5
2021,Prozent,Geschlecht,Schleswig-Holstein Männer,,8.8
2022,Prozent,Geschlecht,Schleswig-Holstein Männer,,9.0
2023,Prozent,Geschlecht,Schleswig-Holstein Männer,,9.3
2024,Prozent,Geschlecht,Schleswig-Holstein Männer,,9.3
2006,Prozent,Geschlecht,Deutschland Männer,,9.9
2007,Prozent,Geschlecht,Deutschland Männer,,9.6
2008,Prozent,Geschlecht,Deutschland Männer,,9.0
2009,Prozent,Geschlecht,Deutschland Männer,,9.2
2010,Prozent,Geschlecht,Deutschland Männer,,8.8
2011,Prozent,Geschlecht,Deutschland Männer,,8.7
2012,Prozent,Geschlecht,Deutschland Männer,,8.7
2013,Prozent,Geschlecht,Deutschland Männer,,8.9
2014,Prozent,Geschlecht,Deutschland Männer,,9.2
2015,Prozent,Geschlecht,Deutschland Männer,,10.1
2016,Prozent,Geschlecht,Deutschland Männer,,10.0
2017,Prozent,Geschlecht,Deutschland Männer,,9.5
2018,Prozent,Geschlecht,Deutschland Männer,,8.9
2019,Prozent,Geschlecht,Deutschland Männer,,8.5
2020,Prozent,Geschlecht,Deutschland Männer,,8.6
2021,Prozent,Geschlecht,Deutschland Männer,,8.2
2022,Prozent,Geschlecht,Deutschland Männer,,8.7
2023,Prozent,Geschlecht,Deutschland Männer,,9.0
2024,Prozent,Geschlecht,Deutschland Männer,,8.9
2006,Prozent,Geschlecht,Schleswig-Holstein Frauen,,9.9
2007,Prozent,Geschlecht,Schleswig-Holstein Frauen,,9.7
2008,Prozent,Geschlecht,Schleswig-Holstein Frauen,,9.4
2009,Prozent,Geschlecht,Schleswig-Holstein Frauen,,9.2
2010,Prozent,Geschlecht,Schleswig-Holstein Frauen,,8.8
2011,Prozent,Geschlecht,Schleswig-Holstein Frauen,,8.9
2012,Prozent,Geschlecht,Schleswig-Holstein Frauen,,8.9
2013,Prozent,Geschlecht,Schleswig-Holstein Frauen,,9.2
2014,Prozent,Geschlecht,Schleswig-Holstein Frauen,,9.3
2015,Prozent,Geschlecht,Schleswig-Holstein Frauen,,9.8
2016,Prozent,Geschlecht,Schleswig-Holstein Frauen,,9.8
2017,Prozent,Geschlecht,Schleswig-Holstein Frauen,,9.5
2018,Prozent,Geschlecht,Schleswig-Holstein Frauen,,9.1
2019,Prozent,Geschlecht,Schleswig-Holstein Frauen,,8.7
2020,Prozent,Geschlecht,Schleswig-Holstein Frauen,,8.7
2021,Prozent,Geschlecht,Schleswig-Holstein Frauen,,8.1
2022,Prozent,Geschlecht,Schleswig-Holstein Frauen,,8.7
2023,Prozent,Geschlecht,Schleswig-Holstein Frauen,,8.7
2024,Prozent,Geschlecht,Schleswig-Holstein Frauen,,8.7
2006,Prozent,Geschlecht,Deutschland Frauen,,9.7
2007,Prozent,Geschlecht,Deutschland Frauen,,9.5
2008,Prozent,Geschlecht,Deutschland Frauen,,9.1
2009,Prozent,Geschlecht,Deutschland Frauen,,9.1
2010,Prozent,Geschlecht,Deutschland Frauen,,8.7
2011,Prozent,Geschlecht,Deutschland Frauen,,8.6
2012,Prozent,Geschlecht,Deutschland Frauen,,8.7
2013,Prozent,Geschlecht,Deutschland Frauen,,8.8
2014,Prozent,Geschlecht,Deutschland Frauen,,8.9
2015,Prozent,Geschlecht,Deutschland Frauen,,9.3
2016,Prozent,Geschlecht,Deutschland Frauen,,9.1
2017,Prozent,Geschlecht,Deutschland Frauen,,8.8
2018,Prozent,Geschlecht,Deutschland Frauen,,8.4
2019,Prozent,Geschlecht,Deutschland Frauen,,8.0
2020,Prozent,Geschlecht,Deutschland Frauen,,8.0
2021,Prozent,Geschlecht,Deutschland Frauen,,7.7
2022,Prozent,Geschlecht,Deutschland Frauen,,8.6
2023,Prozent,Geschlecht,Deutschland Frauen,,8.6
2024,Prozent,Geschlecht,Deutschland Frauen,,8.5
2006,Prozent,Geschlecht,Früheres Bundesgebiet insgesamt,,8.3
2007,Prozent,Geschlecht,Früheres Bundesgebiet insgesamt,,8.1
2008,Prozent,Geschlecht,Früheres Bundesgebiet insgesamt,,7.8
2009,Prozent,Geschlecht,Früheres Bundesgebiet insgesamt,,8.0
2010,Prozent,Geschlecht,Früheres Bundesgebiet insgesamt,,7.7
2011,Prozent,Geschlecht,Früheres Bundesgebiet insgesamt,,7.6
2012,Prozent,Geschlecht,Früheres Bundesgebiet insgesamt,,7.6
2013,Prozent,Geschlecht,Früheres Bundesgebiet insgesamt,,7.9
2014,Prozent,Geschlecht,Früheres Bundesgebiet insgesamt,,8.2
2015,Prozent,Geschlecht,Früheres Bundesgebiet insgesamt,,8.9
2016,Prozent,Geschlecht,Früheres Bundesgebiet insgesamt,,8.9
2017,Prozent,Geschlecht,Früheres Bundesgebiet insgesamt,,8.6
2018,Prozent,Geschlecht,Früheres Bundesgebiet insgesamt,,8.2
2019,Prozent,Geschlecht,Früheres Bundesgebiet insgesamt,,7.9
2020,Prozent,Geschlecht,Früheres Bundesgebiet insgesamt,,8.0
2021,Prozent,Geschlecht,Früheres Bundesgebiet insgesamt,,7.7
2022,Prozent,Geschlecht,Früheres Bundesgebiet insgesamt,,8.4
2023,Prozent,Geschlecht,Früheres Bundesgebiet insgesamt,,8.5
2024,Prozent,Geschlecht,Früheres Bundesgebiet insgesamt,,8.4
2006,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) insgesamt,,15.6
2007,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) insgesamt,,15.2
2008,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) insgesamt,,14.3
2009,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) insgesamt,,14.0
2010,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) insgesamt,,13.2
2011,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) insgesamt,,13.1
2012,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) insgesamt,,13.0
2013,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) insgesamt,,12.9
2014,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) insgesamt,,12.8
2015,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) insgesamt,,13.0
2016,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) insgesamt,,12.2
2017,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) insgesamt,,11.4
2018,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) insgesamt,,10.6
2019,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) insgesamt,,9.9
2020,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) insgesamt,,9.7
2021,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) insgesamt,,9.2
2022,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) insgesamt,,9.8
2023,Prozent,Geschlecht,Neue Bundesländer (einschließlich Berlin) insgesamt,,9.9
