Year,Arbeitgeber (AG),Value
2005,Quote priv. AG,3.4
2006,Quote priv. AG,3.4
2007,Quote priv. AG,3.3
2008,Quote priv. AG,3.4
2009,Quote priv. AG,3.5
2010,Quote priv. AG,3.6
2011,Quote priv. AG,3.7
2012,Quote priv. AG,3.7
2013,Quote priv. AG,3.7
2014,Quote priv. AG,3.7
2015,Quote priv. AG,3.7
2016,Quote priv. AG,3.8
2005,Quote öffentl. AG,5.5
2006,Quote öffentl. AG,5.5
2007,Quote öffentl. AG,5.5
2008,Quote öffentl. AG,5.4
2009,Quote öffentl. AG,5.9
2010,Quote öffentl. AG,6.0
2011,Quote öffentl. AG,6.1
2012,Quote öffentl. AG,6.2
2013,Quote öffentl. AG,6.2
2014,Quote öffentl. AG,6.1
2015,Quote öffentl. AG,6.2
2016,Quote öffentl. AG,6.2
2005,gesamt,4.0
2006,gesamt,4.0
2007,gesamt,3.9
2008,gesamt,3.9
2009,gesamt,4.1
2010,gesamt,4.1
2011,gesamt,4.3
2012,gesamt,4.3
2013,gesamt,4.4
2014,gesamt,4.3
2015,gesamt,4.4
2016,gesamt,4.4
2005,Zielwert,5.0
2006,Zielwert,5.0
2007,Zielwert,5.0
2008,Zielwert,5.0
2009,Zielwert,5.0
2010,Zielwert,5.0
2011,Zielwert,5.0
2012,Zielwert,5.0
2013,Zielwert,5.0
2014,Zielwert,5.0
2015,Zielwert,5.0
2016,Zielwert,5.0
2005,schwerbehinderte Beschäftigte,21547.0
2006,schwerbehinderte Beschäftigte,21523.0
2007,schwerbehinderte Beschäftigte,21875.0
2008,schwerbehinderte Beschäftigte,22986.0
2009,schwerbehinderte Beschäftigte,22621.0
2010,schwerbehinderte Beschäftigte,23331.0
2011,schwerbehinderte Beschäftigte,25548.0
2012,schwerbehinderte Beschäftigte,26620.0
2013,schwerbehinderte Beschäftigte,27679.0
2014,schwerbehinderte Beschäftigte,28151.0
2015,schwerbehinderte Beschäftigte,28656.0
2016,schwerbehinderte Beschäftigte,29354.0
