Year,Ausgaben für Barrierefreiheit,Value
2019,investive Vorhaben,2900000
2020,investive Vorhaben,1800000
2021,investive Vorhaben,3400000
2022,investive Vorhaben,2080000
2023,investive Vorhaben,733000
2024,investive Vorhaben,1360000
2025,investive Vorhaben,580000
2019,nichtinvestive Vorhaben,536000
2020,nichtinvestive Vorhaben,165000
2021,nichtinvestive Vorhaben,313000
2022,nichtinvestive Vorhaben,0
2023,nichtinvestive Vorhaben,44000
2024,nichtinvestive Vorhaben,9000
2025,nichtinvestive Vorhaben,0
